,wl,R,G,B
145,525,82.2,9672.23813477,21.2
146,526,82.2,9674.596875,21.2
147,527,82.2,9663.04741211,21.2
148,528,82.2,9646.8,21.2
149,529,82.2,9626.87495117,21.2
150,530,82.2,9603.715625,21.2
151,531,82.2,9574.23637695,21.2
152,532,82.2,9534.9,21.2
153,533,82.2,9486.21806641,21.2
154,534,82.2,9428.6234375,21.2
155,535,82.2,9361.85517578,21.2
156,536,82.2,9285.7,21.2
157,537,82.3375732422,9200.01976318,21.2
158,538,82.77421875,9104.72617188,21.2
159,539,82.8998291016,8999.7819458,21.2
160,540,82.2,8885.2,21.2
161,541,81.4599731445,8761.00303955,21.2
162,542,81.691015625,8627.25742187,21.2
163,543,82.0701538086,8484.27679443,21.2
164,544,82.2,8332.4,21.2
165,545,83.2564819336,8171.78498535,21.2
166,546,86.847265625,8002.59921875,21.2
167,547,100.36895752,7824.96101074,21.2
168,548,131.2,7639.0,21.2
169,549,180.79642334,7444.97884521,21.2
170,550,250.129296875,7243.18398438,21.2
171,551,339.10489502,7033.76212158,21.2
172,552,447.1,6816.9,21.2
173,553,574.60144043,6592.98536377,21.2
174,554,721.7140625,6362.45898437,21.2
175,555,887.212817383,6125.81419678,21.2
176,556,1069.6,5883.6,21.2
177,557,1268.0032959,5636.38962402,21.2
178,558,1481.359375,5384.80859375,21.2
179,559,1707.84240723,5129.5864502,21.2
180,560,1945.5,4871.5,21.2
181,561,2192.81726074,4611.30926514,21.2
182,562,2448.2046875,4349.81523437,21.2
183,563,2709.5973877,4087.93013916,21.2
184,564,2974.9,3826.6,21.2
185,565,3242.40213623,3566.71622314,21.2
186,566,3510.40195313,3309.19492187,21.2
187,567,3776.86451416,3055.09798584,21.2
188,568,4039.8,2805.5,21.2
189,569,4297.60906982,2561.33326416,21.2
190,570,4548.76835937,2323.52695313,21.2
191,571,4791.64400635,2093.21307373,21.2
192,572,5024.7,1871.5,21.2
193,573,5246.65206299,1659.22073975,21.2
194,574,5456.32617187,1457.15976563,21.2
195,575,5652.659021,1266.33829346,21.2
196,576,5834.7,1087.7,21.2
197,577,6001.57218018,921.800109863,21.2
198,578,6152.50664062,769.087890625,21.2
199,579,6286.9380249,630.114001465,21.2
200,580,6404.4,505.3,21.2
201,581,6504.67312012,394.72722168,21.2
202,582,6587.671875,298.328125,21.2
203,583,6652.01945801,216.056762695,21.2
204,584,6696.6,147.7,21.2
205,585,6721.59420166,92.6109619141,21.2
206,586,6727.48085938,49.94375,21.2
207,587,6717.91121826,19.2945068359,21.2
208,588,6696.6,-2.75335310107e-14,21.2
209,589,6664.23580322,-8.8837890625,21.2
210,590,6621.33945313,-8.50234375,21.2
211,591,6567.15350342,-3.90009765625,21.2
212,592,6500.8,1.42108547152e-14,21.2
213,593,6422.97646484,2.10948486328,21.2
214,594,6334.40078125,1.730859375,21.2
215,595,6235.55722656,0.414685058594,21.2
216,596,6127.0,3.5527136788e-15,21.2
217,597,6009.38862305,0.0,21.1924194336
218,598,5883.45546875,0.0,21.168359375
219,599,5750.00112305,0.0,21.1614379883
220,600,5609.9,0.0,21.2
221,601,5464.07984619,0.0,21.2377075195
222,602,5313.53867187,0.0,21.215234375
223,603,5159.46326904,0.0,21.1915405273
224,604,5003.1,0.0,21.2
225,605,4845.47930908,0.0,21.2743896484
226,606,4687.65507813,0.0,21.43984375
227,607,4531.56741943,0.0,20.7923095703
228,608,4379.1,0.0,18.5
229,609,4231.11715088,0.0,14.5451416016
230,610,4088.34335938,0.0,9.01796875
231,611,3951.71951904,0.0,3.60944824219
232,612,3822.0,0.0,-3.5527136788e-15
233,613,3699.60352783,0.0,-1.71387939453
234,614,3584.75976562,0.0,-1.558203125
235,615,3476.92113037,0.0,-0.606677246094
236,616,3375.4,0.0,1.7763568394e-15
237,617,3280.10081787,0.0,0.264221191406
238,618,3190.85351563,0.0,0.216796875
239,619,3107.01134033,0.0,0.0519409179688
240,620,3027.9,0.0,4.4408920985e-16
241,621,2953.16320801,0.0,0.0
242,622,2882.44609375,0.0,0.0
243,623,2815.32770996,0.0,0.0
244,624,2751.4,0.0,0.0
245,625,2690.28920898,0.0,0.0
246,626,2631.6359375,0.0,0.0
247,627,2575.11137695,0.0,0.0
248,628,2520.4,0.0,0.0
249,629,2467.18618164,0.0,0.0
250,630,2415.1671875,0.0,0.0
251,631,2364.01049805,0.0,0.0
252,632,2313.4,0.0,0.0
253,633,2263.09705811,0.0,0.0
254,634,2212.88554688,0.0,0.0
255,635,2162.4987915,0.0,0.0
256,636,2111.7,0.0,0.0
257,637,2060.35202637,0.0,0.0
258,638,2008.353125,0.0,0.0
259,639,1955.64367676,0.0,0.0
260,640,1902.2,0.0,0.0
261,641,1848.00935059,0.0,0.0
262,642,1793.0921875,0.0,0.0
263,643,1737.5467041,0.0,0.0
264,644,1681.5,0.0,0.0
265,645,1625.0477417,0.0,0.0
266,646,1568.30820312,0.0,0.0
267,647,1511.51109619,0.0,0.0
268,648,1454.9,0.0,0.0
269,649,1398.63001709,0.0,0.0
270,650,1342.86054687,0.0,0.0
271,651,1287.83692627,0.0,0.0
272,652,1233.8,0.0,0.0
273,653,1180.90018311,0.0,0.0
274,654,1129.27539062,0.0,0.0
275,655,1079.11783447,0.0,0.0
276,656,1030.6,0.0,0.0
277,657,983.809606934,0.0,0.0
278,658,938.808984375,0.0,0.0
279,659,895.661047363,0.0,0.0
280,660,854.4,0.0,0.0
281,661,815.021972656,0.0,0.0
282,662,777.49453125,0.0,0.0
283,663,741.70078125,0.0,0.0
284,664,707.5,0.0,0.0
285,665,674.804553223,0.0,0.0
286,666,643.510546875,0.0,0.0
287,667,613.413171387,0.0,0.0
288,668,584.3,0.0,0.0
289,669,556.044287109,0.0,0.0
290,670,528.5203125,0.0,0.0
291,671,501.534033203,0.0,0.0
292,672,474.9,0.0,0.0
293,673,448.513500977,0.0,0.0
294,674,422.28515625,0.0,0.0
295,675,396.083862305,0.0,0.0
296,676,369.8,0.0,0.0
297,677,343.405273438,0.0,0.0
298,678,316.8984375,0.0,0.0
299,679,290.259375,0.0,0.0
300,680,263.5,0.0,0.0
301,681,236.708422852,0.0,0.0
302,682,210.00859375,0.0,0.0
303,683,183.544995117,0.0,0.0
304,684,157.5,0.0,0.0
305,685,132.103649902,0.0,0.0
306,686,107.624609375,0.0,0.0
307,687,84.3736450195,0.0,0.0
308,688,62.7,0.0,0.0
309,689,42.6968994141,0.0,0.0
310,690,24.4453125,0.0,0.0
311,691,9.68688964844,0.0,0.0
312,692,3.19744231092e-14,0.0,0.0
313,693,-4.58540039063,0.0,0.0
314,694,-4.27734375,0.0,0.0
315,695,-1.81567382812,0.0,0.0
316,696,1.42108547152e-14,0.0,0.0
317,697,0.895495605469,0.0,0.0
318,698,0.734765625,0.0,0.0
319,699,0.176037597656,0.0,0.0
320,700,-3.5527136788e-15,0.0,0.0
321,701,0.0,0.0,0.0
322,702,0.0,0.0,0.0
323,703,0.0,0.0,0.0
324,704,0.0,0.0,0.0
325,705,0.0,0.0,0.0
326,706,0.0,0.0,0.0
327,707,0.0,0.0,0.0
328,708,0.0,0.0,0.0
329,709,0.0,0.0,0.0
330,710,0.0,0.0,0.0
331,711,0.0,0.0,0.0
332,712,0.0,0.0,0.0
333,713,0.0,0.0,0.0
334,714,0.0,0.0,0.0
335,715,0.0,0.0,0.0
336,716,0.0,0.0,0.0
337,717,0.0,0.0,0.0
338,718,0.0,0.0,0.0
339,719,0.0,0.0,0.0
340,720,0.0,0.0,0.0
341,721,0.0,0.0,0.0
342,722,0.0,0.0,0.0
343,723,0.0,0.0,0.0
344,724,0.0,0.0,0.0
345,725,0.0,0.0,0.0
346,726,0.0,0.0,0.0
347,727,0.0,0.0,0.0
348,728,0.0,0.0,0.0
349,729,0.0,0.0,0.0
350,730,0.0,0.0,0.0
351,731,0.0,0.0,0.0
352,732,0.0,0.0,0.0
353,733,0.0,0.0,0.0
354,734,0.0,0.0,0.0
355,735,0.0,0.0,0.0
356,736,0.0,0.0,0.0
357,737,0.0,0.0,0.0
358,738,0.0,0.0,0.0
359,739,0.0,0.0,0.0
360,740,0.0,0.0,0.0
361,741,0.0,0.0,0.0
362,742,0.0,0.0,0.0
363,743,0.0,0.0,0.0
364,744,0.0,0.0,0.0
365,745,0.0,0.0,0.0
366,746,0.0,0.0,0.0
367,747,0.0,0.0,0.0
368,748,0.0,0.0,0.0
369,749,0.0,0.0,0.0
370,750,0.0,0.0,0.0
371,751,0.0,0.0,0.0
372,752,0.0,0.0,0.0
373,753,0.0,0.0,0.0
374,754,0.0,0.0,0.0
375,755,0.0,0.0,0.0
376,756,0.0,0.0,0.0
377,757,0.0,0.0,0.0
378,758,0.0,0.0,0.0
379,759,0.0,0.0,0.0
380,760,0.0,0.0,0.0
381,761,0.0,0.0,0.0
382,762,0.0,0.0,0.0
383,763,0.0,0.0,0.0
384,764,0.0,0.0,0.0
385,765,0.0,0.0,0.0
386,766,0.0,0.0,0.0
387,767,0.0,0.0,0.0
388,768,0.0,0.0,0.0
389,769,0.0,0.0,0.0
390,770,0.0,0.0,0.0
391,771,0.0,0.0,0.0
392,772,0.0,0.0,0.0
393,773,0.0,0.0,0.0
394,774,0.0,0.0,0.0
395,775,0.0,0.0,0.0
396,776,0.0,0.0,0.0
397,777,0.0,0.0,0.0
398,778,0.0,0.0,0.0
399,779,0.0,0.0,0.0
400,780,0.0,0.0,0.0
