,wl,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
0,380,0.1291,0.0065,0.0709,0.1263,0.0063,0.0705,0.1295,0.0063,0.0703,0.1256,0.0706,0.0579,0.0825,0.0456,0.0614,0.0758,0.0139,0.0656,0.019,0.0704,0.0071,0.0482,0.067,0.0263,0.0766,0.0186,0.0798,0.0438,0.0461,0.0067,0.1281,0.0953,0.0989,0.1196,0.1174,0.0878,0.0612,0.0686,0.0337,0.127,0.0707,0.0191,0.0232,0.025,0.1273,0.0069,0.0802,0.0747,0.0144,0.0707,0.0068,0.0615,0.0578,0.0194,0.0851,0.0348,0.0508,0.0591,0.0518,0.0069,0.1299,0.0716,0.0484,0.017,0.0736,0.0458,0.0228,0.0615,0.0401,0.1268,0.071,0.0189,0.0443,0.0205,0.0706,0.0723,0.0679,0.0623,0.0213,0.0707,0.0076,0.0773,0.0248,0.0722,0.0405,0.0799,0.0241,0.0257,0.0248,0.0069,0.1282,0.0678,0.0299,0.0523,0.0153,0.1027,0.0663,0.0629,0.0454,0.1275,0.0708,0.1122,0.1269,0.0936,0.1198,0.077,0.0573,0.0181,0.0327,0.0707,0.0074,0.0273,0.0227,0.0717,0.0666,0.0218,0.0195,0.0346,0.0248,0.0067,0.0706,0.0562,0.0322,0.0283,0.036,0.0411,0.0237,0.0264,0.0105,0.0707,0.1268,0.0705,0.0066,0.1275,0.0704,0.0067,0.1269,0.0697,0.0067,0.1264
1,381,0.13467535765,0.00659709106459,0.0743748214593,0.131946240975,0.00643905831938,0.0739880505861,0.135073113917,0.00637858418062,0.0738381914115,0.131175069522,0.0740877750837,0.0603157587739,0.0874610093361,0.0473851334151,0.0654218262679,0.0804379247428,0.0141625174821,0.0693623103349,0.0191569699402,0.07390641686,0.00717203028708,0.0495771245455,0.0715020861184,0.0276363179246,0.0812605399821,0.0190607588816,0.0845928318182,0.0461071586962,0.0479941632536,0.00678457994617,0.133687844276,0.100159789091,0.10423607994,0.125241648822,0.122946658272,0.0925351155682,0.0636321304964,0.0718023705981,0.0350116584091,0.132591744043,0.0741943732356,0.0195136650897,0.0232474890969,0.0260696173744,0.132854070574,0.00692834700359,0.0849121975,0.0791769425239,0.0146410127153,0.0741820548206,0.00690901906699,0.0643967962261,0.0616729921651,0.0195741452751,0.0899248947249,0.036115367823,0.0532617793361,0.0618179868122,0.054273857811,0.00698537503589,0.135495812518,0.0762179920395,0.050629481872,0.0171049263158,0.0783283736962,0.0481873727213,0.0230301860586,0.064783773744,0.0415178810586,0.132385421394,0.0744768836423,0.0192569710825,0.047117785305,0.0202034464354,0.0740974289294,0.0768259510945,0.0714096798565,0.0655380498266,0.0213324340371,0.0741813368122,0.00762202435407,0.0822450463158,0.0249507060766,0.076635127805,0.0422552247548,0.0847685498804,0.024472594994,0.0261173293182,0.0251766318361,0.00696980822368,0.133770258331,0.0719231838756,0.0300906030323,0.0556926442045,0.0156578675299,0.10802414305,0.0697763551734,0.0657841375897,0.0467733005024,0.133097195233,0.0743356224821,0.117797227016,0.132453072506,0.0984177174761,0.125549550185,0.0818403083612,0.0602766627033,0.018632980616,0.0335336226196,0.0741781847667,0.00741591296651,0.0274982398624,0.0226551949581,0.07613605875,0.0704841837739,0.0216422235347,0.0193557467225,0.0353841479246,0.0248459258074,0.0067816398744,0.0741195496352,0.058389484695,0.033489759366,0.0286857531878,0.0366103982835,0.0416568772787,0.0233813007416,0.026412587488,0.0105689167823,0.0741347769856,0.132321622488,0.0739813560825,0.00665208738636,0.133093909007,0.0739100749402,0.00676839147727,0.132428635544,0.0732477046471,0.00672515641746,0.131942274569
2,382,0.140320568038,0.00669307483254,0.0778794832536,0.13766198201,0.00657555444976,0.07750543311,0.140715106603,0.00645676555024,0.0774049270813,0.136819238278,0.0776061933014,0.0627891980861,0.09251631311,0.0491838667943,0.0695012585646,0.0851461205742,0.0144249814354,0.0731761332057,0.0193143647847,0.0774426311962,0.00724333703349,0.0509741963636,0.0760854905263,0.0289830660287,0.0860033814354,0.0195245894737,0.0894708945455,0.0484359043062,0.0499010197129,0.00686822430622,0.139344597895,0.105088072727,0.109649884785,0.130966634258,0.128582758278,0.0973625745455,0.0660770602871,0.0750403521531,0.0363290472727,0.138253196555,0.0777186411483,0.019928052823,0.0232955322488,0.0271521500478,0.138477714067,0.00695717971292,0.089712,0.0837327180861,0.0148829427751,0.0776939743541,0.00701695464115,0.0673237619139,0.0656029067943,0.0197484179904,0.0948352620096,0.0374335341627,0.05574799311,0.0645675950239,0.0567688551196,0.00706939712919,0.141159338565,0.0809044968421,0.0528708302392,0.0172103747368,0.0831391043062,0.0505886422967,0.023262255311,0.0681098204785,0.042941455311,0.138039988517,0.0779849286124,0.0196136933971,0.0499639555981,0.0199091651675,0.0776244256459,0.0814222124402,0.0749656114833,0.0688151938756,0.0213647770335,0.0776928750239,0.00764397167464,0.0872774147368,0.0251049538756,0.0811669955981,0.0440178396172,0.0897317695694,0.0248458204785,0.0265345745455,0.02555503311,0.00703876210526,0.139410793493,0.0761136099522,0.0302821374163,0.0591262836364,0.0160153776077,0.113415235981,0.0732905661244,0.068696692823,0.0481528398086,0.13876372134,0.0779000214354,0.123491458756,0.138090979522,0.103305521914,0.131367885167,0.0867736911005,0.0632742637321,0.0191665707177,0.0343695104306,0.0776869986603,0.00743240267943,0.0277002710048,0.0226113033493,0.08064544,0.0744207180861,0.0214864972249,0.019213142201,0.0361704260287,0.0248948754067,0.00686255004785,0.0776684891866,0.0605907644019,0.0347851307177,0.0290714449761,0.0372235973206,0.0422174377033,0.0230661006699,0.0264263609569,0.0106374974163,0.0776000811483,0.137913720957,0.0774928933971,0.00670482909091,0.138756279426,0.0774494047847,0.00683658181818,0.138027776459,0.0768240482297,0.00675126660287,0.13755491445
3,383,0.146245252829,0.00678768934211,0.0813876692105,0.143655979145,0.00671036230263,0.0810263482895,0.146635083618,0.00653406019737,0.0809745021053,0.142742183947,0.0811282911842,0.0652886173026,0.0977479245395,0.0510053315132,0.0737093757895,0.0899733324342,0.0146855604605,0.0770305747368,0.0194701848684,0.0809821330921,0.00731362763158,0.0523727,0.0807573804605,0.0303427074342,0.0909081879605,0.0199891845395,0.094544955,0.0507741201316,0.0518055681579,0.00695068888158,0.145281359408,0.110290895,0.115324439868,0.136903609408,0.134420110197,0.10228675625,0.0685130480921,0.0782864063158,0.0376421725,0.144193352895,0.0812464161184,0.0203393901974,0.0233433090132,0.0282493132237,0.144381275263,0.00698575440789,0.0945897025,0.0883491485526,0.0151236169737,0.0812097196053,0.00712322394737,0.0702557476974,0.0695696777632,0.0199218346053,0.0999635603947,0.0387454042105,0.0582379645395,0.0673315059868,0.0592682911842,0.00715248907895,0.147101524539,0.0856584884868,0.0551019311184,0.0173144678947,0.0880333801316,0.0529865009868,0.0234952853289,0.0714542222368,0.0443595403289,0.143973285066,0.0814963390132,0.0199678813816,0.0528261446711,0.0196180781579,0.0811548216447,0.0860738544079,0.0785447136842,0.0721061586184,0.0213968788816,0.0812080409868,0.00766568657895,0.0924346028947,0.0252596473684,0.0857962571711,0.0457747604605,0.0948727647368,0.0252163009868,0.0269475425,0.0259317920395,0.00710708309211,0.145331130329,0.0803633305263,0.0304724246711,0.06261366625,0.0163703875658,0.119089216711,0.0768120313816,0.0716135226974,0.0495238821053,0.144708576513,0.0814674104605,0.129339522434,0.143933331513,0.108465896447,0.137428614408,0.0918438503947,0.0662706939474,0.0196972183553,0.0352003227632,0.0811994834868,0.00744887552632,0.0279012676974,0.0225671969079,0.08520697125,0.0783735823026,0.0213327517763,0.0190724407895,0.0369516974342,0.0249441967763,0.00694246572368,0.0812206601974,0.0627792003289,0.0360762096053,0.0294531090132,0.0378318882237,0.0427754840132,0.0227545776316,0.0264400444737,0.0107051309211,0.0810696673684,0.143785229474,0.0810080713816,0.00675664125,0.144696883816,0.0809920348684,0.00690375625,0.143905410197,0.0804031882237,0.00677713611842,0.143445591053
4,384,0.152638308134,0.00687992191388,0.0849085113876,0.150116297033,0.00684212057416,0.0845598958852,0.15302079311,0.00660987942584,0.0845554847847,0.149132293971,0.084663436555,0.0678410733014,0.103290455885,0.0528564937799,0.0781420049761,0.0950119020096,0.0149431150239,0.0809619062201,0.0196235567464,0.0845339291866,0.00738215961722,0.0537773672727,0.0855907368421,0.0317260111005,0.0960971950239,0.0204556631579,0.0999598109091,0.0531322250718,0.0537091689952,0.00703110507177,0.151687292632,0.115960494545,0.121446596746,0.143208819904,0.140609413971,0.107389570909,0.0709378710048,0.0815533925359,0.0389497454545,0.150600587943,0.0847868440191,0.0207460248804,0.0233907628708,0.0293682051675,0.150753919234,0.00701396899522,0.09961408,0.0930823533014,0.0153624597129,0.0847386702392,0.00722662124402,0.0732024466986,0.0736027337799,0.0200939429665,0.105470217033,0.0400480895694,0.0607392558852,0.0701250625837,0.0617793929187,0.00723392995215,0.153510484976,0.0905386189474,0.0573194258373,0.0174164715789,0.0930821450718,0.0553823280383,0.0237301335885,0.0748374116746,0.0457702935885,0.150373639809,0.0850202901435,0.02031808689,0.0557195245933,0.0193323980861,0.0846976497608,0.0908312635407,0.0821713201914,0.0754279785646,0.0214285596172,0.0847361025837,0.00768702086124,0.0978161515789,0.0254156585646,0.0906052845933,0.0475244386603,0.100327113493,0.0255825316746,0.0273537309091,0.0263062958852,0.00717430736842,0.151720417225,0.0847236348325,0.0306609209569,0.0661984727273,0.0167214216268,0.125243405933,0.0803539414354,0.0745436248804,0.0508828593301,0.151119824689,0.0850464750239,0.135462825646,0.150131708325,0.114090446699,0.143904238086,0.0971589588517,0.0692702430622,0.020223397512,0.0360236065072,0.084724975311,0.00746540937799,0.0281012685167,0.0225228417225,0.08986944,0.0823644333014,0.0211825002871,0.0189350377033,0.0377255311005,0.0249945439234,0.00702068516746,0.0847849921531,0.0649495954067,0.037361957512,0.0298283774163,0.038432830622,0.0433303119617,0.0224494323445,0.0264537033493,0.0107711609569,0.0845532440191,0.150125063349,0.08453616689,0.00680698181818,0.15110361799,0.0845469167464,0.00696923636364,0.150249777608,0.0839936888038,0.00680271311005,0.149802280574
5,385,0.159668701406,0.00696827900718,0.0884747757177,0.157211120664,0.00696798370215,0.0881384345096,0.160039664324,0.00668357879785,0.0881792912679,0.156157655502,0.0882452227871,0.0705125859749,0.10930952826,0.0547433276017,0.0829084629187,0.100380521083,0.0151970058313,0.0850371411483,0.0197743944378,0.0881307079844,0.00744790669856,0.0552085227273,0.0907006990132,0.0331489869916,0.101717318331,0.0209274259868,0.105878409091,0.055535548744,0.0556241925837,0.00710820499402,0.158730797697,0.122273295455,0.128199394438,0.150051820425,0.147322499252,0.112802627841,0.0733625261663,0.084881055622,0.0402563920455,0.157643436005,0.0883727609151,0.0211477833433,0.0234383560108,0.0305196658194,0.157764563397,0.00704216133373,0.1049046875,0.0980368047249,0.0155999925239,0.0883138083134,0.00732555322967,0.0761967890251,0.0777644213517,0.0202646605861,0.111529089414,0.0413429575359,0.0632782782596,0.0729852235347,0.0643253364234,0.00731223833732,0.160552994169,0.0956418996711,0.0595327040969,0.0175164473684,0.098401173744,0.0577900530801,0.023968843451,0.0783091581938,0.047178218451,0.157409109599,0.088590628738,0.0206634606758,0.0586774633672,0.0190551584928,0.0882854104366,0.0957873317883,0.0859010466507,0.0788257438696,0.0214596254486,0.0883102235347,0.00770783492823,0.103560197368,0.0255765251196,0.0957290258672,0.049273142195,0.106261288876,0.0259443144438,0.0277518465909,0.0266798407596,0.00723951480263,0.158748104815,0.0892842404306,0.0308482020036,0.0699438210227,0.0170674902811,0.132055883672,0.0839586311304,0.0775180958433,0.0522338367225,0.158165486693,0.0886688808313,0.142022282446,0.156854123056,0.120356945275,0.150960627243,0.102867157596,0.0722948714115,0.0207449872907,0.0368402736244,0.0882970133074,0.00748253588517,0.0283036072069,0.0224789511065,0.09472734375,0.0864532109749,0.0210382887261,0.0188030651914,0.0384927369916,0.0250488000897,0.00709622831938,0.0883938060706,0.0671100366328,0.0386473310407,0.0301960264653,0.0390276203648,0.0438849469199,0.0221550089713,0.0264683163876,0.0108349207536,0.0880844796651,0.157102691388,0.0881103356758,0.00685603693182,0.158143697667,0.0881462694378,0.00703245738636,0.157229885616,0.087627052183,0.00682872682416,0.156793764952
6,386,0.167486268325,0.00705105607656,0.0921310476555,0.165089567081,0.00708437282297,0.0918059414354,0.167839846124,0.00675450717703,0.0918887601914,0.163967045359,0.0919193630622,0.0733883437321,0.115980181435,0.0566719877512,0.088120297799,0.10620698488,0.015446902201,0.0893376122488,0.0199230606699,0.0918170051675,0.00750972478469,0.0566944290909,0.0962209094737,0.034629821244,0.107922262201,0.0214090105263,0.112465963636,0.0580167066029,0.0575686675598,0.00718054660287,0.166560682105,0.129387898182,0.13575442067,0.157601191196,0.154734565359,0.118679403636,0.0758049324402,0.0883225133014,0.0415698618182,0.165471370718,0.0920488497608,0.0215453289952,0.0234868241148,0.0317166354067,0.165562809569,0.00707090755981,0.11060416,0.103339383732,0.0158373335885,0.0919799020096,0.00741827444976,0.0792833362679,0.0821334277512,0.0204341129187,0.118312927081,0.0426336803828,0.0658909014354,0.0759595177033,0.0669372685167,0.00738555559809,0.168375977799,0.101082383158,0.0617578970335,0.0176149052632,0.104126146603,0.0602300195215,0.0242140501435,0.081933554067,0.0485911701435,0.165228462392,0.0922535732057,0.0210035138756,0.0617421825837,0.0187897439234,0.0919623379904,0.101054645742,0.0898046576077,0.0823583479426,0.0214898847847,0.0919755177033,0.00772799923445,0.109820025263,0.0257471479426,0.101325862584,0.0510312367464,0.11285108134,0.026302194067,0.0281413236364,0.0270547414354,0.00730155789474,0.166564624689,0.0941524845933,0.0310354480383,0.0739207709091,0.0174079096651,0.139684865837,0.0876829320574,0.0805790889952,0.0535849783732,0.165994431388,0.092377782201,0.149193239426,0.164269485933,0.127426376268,0.158751503923,0.109132054354,0.0753754817225,0.0212626511005,0.0376530786603,0.0919612486124,0.00750102277512,0.0285133435407,0.0224366384689,0.09989664,0.0907187437321,0.0209031464115,0.0186789887081,0.039255901244,0.0251110009569,0.0071679954067,0.0920911180861,0.0692757374163,0.0399404111005,0.0305555222967,0.0396194572249,0.0444443804785,0.0218764156938,0.026485348134,0.0108957680383,0.0917090097608,0.164868708134,0.0917756738756,0.00690440727273,0.16596485512,0.0918339406699,0.00709294545455,0.164996019904,0.0913462499522,0.0068563261244,0.164570132823
7,387,0.176222509695,0.00712660742823,0.095921917823,0.173882497111,0.00718772672847,0.0956063724043,0.176551245508,0.00682205577153,0.0957267273206,0.172690919976,0.0957315846292,0.0765529090012,0.123465283654,0.0586499827333,0.0938800308134,0.112610945425,0.0156925904366,0.0939425485167,0.020070028122,0.0956373689055,0.00756651801435,0.0582636327273,0.102279858618,0.0361858113337,0.114854627937,0.0219049463816,0.119874074091,0.0606079750598,0.0595609291627,0.00724673880981,0.175307331776,0.137443070455,0.144264173122,0.166010254504,0.163006421226,0.125167410341,0.0782836320873,0.0919307437799,0.0428982370455,0.174215584952,0.0958597970993,0.021939520317,0.0235369311423,0.0329725130562,0.174279876029,0.00710082041268,0.1168505125,0.109113435251,0.0160756972608,0.095781689366,0.00750312270335,0.0825066759988,0.0867882039833,0.0206024716388,0.125978833361,0.0439242846411,0.0686130636543,0.0790949984031,0.0696463282656,0.00745202912679,0.177108004563,0.106969844539,0.0640118702811,0.0177124563158,0.11038772506,0.0627228479486,0.0244683867404,0.0857740005622,0.0500173617404,0.173962160257,0.0960554138696,0.0213378794916,0.0649554150778,0.0185394200718,0.095772666884,0.106742675867,0.0939519334928,0.0860842350538,0.0215191642644,0.0957771034031,0.0077473957177,0.116740621316,0.0259324888038,0.107548467578,0.0528094668002,0.120260021244,0.0266568943122,0.0285218415909,0.0274334411543,0.00735929072368,0.175302068104,0.0994325156938,0.0312239287141,0.0781968285227,0.017742120939,0.148268080778,0.0915835249462,0.083768772817,0.0549450127751,0.174737266824,0.0962163304366,0.157140401788,0.172532068188,0.135439979749,0.167412921322,0.116108221543,0.0785431908852,0.0217772158433,0.038465096256,0.0957633531758,0.00752165614833,0.0287356941806,0.0223970701854,0.10549049625,0.0952393540012,0.0207800364892,0.0185652030861,0.0400179213337,0.0251852578529,0.00723492555622,0.0959209430443,0.0714628799222,0.0412495320933,0.0309065665969,0.0402119126017,0.0450138070514,0.0216186452871,0.0265063211244,0.0109531199641,0.0954724433493,0.173555406124,0.0955772794916,0.00695279443182,0.174696535825,0.095653768122,0.00715029488636,0.17368025759,0.0951942544199,0.00688671800837,0.173263280478
8,388,0.185991388325,0.00719361607656,0.0998801676555,0.183703327081,0.00727525282297,0.0995720214354,0.186286566124,0.00688570717703,0.0997246001914,0.182442405359,0.0997155230622,0.0800704237321,0.131893941435,0.0606873477512,0.100269897799,0.11968666488,0.015933782201,0.0989126522488,0.0202155406699,0.0996245251675,0.00761740478469,0.0599373090909,0.108977229474,0.037830301244,0.122628022201,0.0224186105263,0.128224843636,0.0633336666029,0.0616142675598,0.00730566660287,0.185083882105,0.146555738182,0.15385442067,0.175402791196,0.172266725359,0.132380363636,0.0808114924402,0.0957450733014,0.0442471418182,0.183989770718,0.0998384497608,0.0223307689952,0.0235892241148,0.0342995154067,0.184029529569,0.00713234755981,0.12374944,0.115452823732,0.0163158935885,0.0997520620096,0.00757875444976,0.0858998162679,0.0917903877512,0.0207697929187,0.134653727081,0.0452172003828,0.0714713814354,0.0824271977033,0.0724756685167,0.00751019559809,0.186860777799,0.113388463158,0.0663062170335,0.0178094652632,0.117286626603,0.0652832995215,0.0247338901435,0.089878194067,0.0514623701435,0.183723342392,0.100030213206,0.0216660738756,0.0683490625837,0.0183068639234,0.0997488979904,0.112934965742,0.0983955376077,0.0900471479426,0.0215473247847,0.0997481577033,0.00776591923445,0.124435225263,0.0261362679426,0.114514662584,0.0546152367464,0.12861780134,0.027008754067,0.0288928436364,0.0278176214354,0.00741179789474,0.185074864689,0.105204484593,0.0314144880383,0.0828244509091,0.0180695096651,0.157922145837,0.0957022920574,0.0871182889952,0.0563196983732,0.184507231388,0.100216182201,0.165992759426,0.181765965933,0.144516296268,0.177057743923,0.123916694354,0.0818206017225,0.0222890511005,0.0392781986603,0.0997369286124,0.00754502277512,0.0289744635407,0.0223611184689,0.11159504,0.100073463732,0.0206713064115,0.0184636287081,0.040780541244,0.0252746809569,0.0072961554067,0.0999155980861,0.0736824574163,0.0425804111005,0.0312486422967,0.0408072972249,0.0455968604785,0.0213856956938,0.026532388134,0.0110064880383,0.0994083697608,0.183277348134,0.0995483138756,0.00700168727273,0.18445109512,0.0996379406699,0.00720414545455,0.183396979904,0.0992025699522,0.0069208061244,0.182987412823
9,389,0.196890125927,0.00725136360048,0.104014955048,0.194648840544,0.00734567808014,0.103711880634,0.197142346788,0.00694508441986,0.103890932751,0.193318287033,0.103880616519,0.0839648148983,0.141339909384,0.0627978176734,0.107340590861,0.127485768906,0.0161699228888,0.104273676077,0.0203592746292,0.103787543032,0.0076618837799,0.0617216081818,0.116360242434,0.0395696166328,0.131309165389,0.0229510825658,0.137594997273,0.0662025049163,0.0637315761722,0.00735671616627,0.195987389013,0.156818976364,0.164616564629,0.185858757195,0.182594225783,0.140370351023,0.0833894075778,0.0997776637081,0.0456169511364,0.194890899067,0.103993971561,0.0227183980562,0.0236437879007,0.0357070352213,0.19490901756,0.00716556992225,0.1313466175,0.122395988648,0.0165578278349,0.103900248888,0.00764438021531,0.0894725801017,0.0971682264234,0.0209358557057,0.144419804294,0.0465113105024,0.074473759384,0.0859690807356,0.0754324774282,0.00755936422249,0.197730627111,0.120375504145,0.0686412511065,0.0179057031579,0.124868699916,0.067914139372,0.0250114070634,0.0942631122129,0.0529261420634,0.19460880814,0.104187506083,0.0219872582117,0.0719358533911,0.0180936938995,0.103900064862,0.119666321286,0.10315488311,0.0942618754246,0.0215742775299,0.103897970736,0.00778347899522,0.132961883158,0.0263596616746,0.122278275891,0.0564488919797,0.137998699258,0.0273571634629,0.0292530547727,0.028207311884,0.00745862348684,0.195980461154,0.111503736029,0.0316070293002,0.0878295505682,0.0183892251854,0.168741943911,0.100051669575,0.0906367105562,0.0577082891148,0.195401084946,0.104386007889,0.175818512996,0.192049564037,0.154748211352,0.18777012765,0.13262046884,0.0852130747608,0.0227974483194,0.0400915332416,0.103891415054,0.00757129239234,0.0292304746471,0.0223290142404,0.11824510875,0.105240199898,0.0205781384151,0.0183753076794,0.0415428866328,0.025380302506,0.00735117772129,0.104084006238,0.0759341166089,0.0439332770694,0.0315805592644,0.0414050288577,0.046193850628,0.0211796905981,0.0265639044258,0.0110555130502,0.103526365311,0.194131939426,0.103698063212,0.00705104829545,0.195324994844,0.103795359629,0.00725415965909,0.194243384874,0.103379764312,0.00695882928828,0.19383954433
