,wl,Paint Chip 1 - Unicorn Blue,Paint Chip 2 - Rich Plum,Paint Chip 3 - Nocturnal Sea,Paint Chip 4 - Calypso Ruffel,Paint Chip 5 - Hyacynth,Paint Chip 6 - Sun Valley,Paint Chip 7 - Continental Blue,Paint Chip 8 - Carnival Red,Paint Chip 9 - Bohemian Blue,Paint Chip 10 - Fire Engine Red,Paint Chip 11 Lucky Irish,Paint Chip 12 Roanoke Red,Paint Chip 13 Paris Night,Paint Chip 14 Nectarine,Paint Chip 15 Ecudor,Paint Chip 16 Wild Mint,Paint Chip 17 Primrose,Paint Chip 18 Oakheart,Paint Chip 19 Slate Grey
0,380,0.10359,0.11949,0.055852,0.13762,0.12447,0.12224,0.080344,0.097349,0.07377,0.081436,0.060698,0.058397,0.075074,0.095399,0.08486,0.049131,0.097265,0.060835,0.089567
1,381,0.106082508621,0.122568366489,0.0567364947177,0.138827349252,0.128207062451,0.118176643709,0.0826732179522,0.0983777081071,0.07510743998,0.0818176066579,0.0616825707389,0.0580403658173,0.0769439741655,0.0956189586935,0.0842778926681,0.0491652845932,0.0959259730511,0.0597753532178,0.0918576220925
2,382,0.108696148325,0.125771513532,0.0576306647727,0.140230487066,0.132128850553,0.114464416118,0.0850812877168,0.0994546164399,0.0765165102796,0.082124934061,0.0626317950434,0.0577203775045,0.0788396605114,0.0958027434584,0.0836959354441,0.0492409270335,0.0945386744169,0.0587918850553,0.0941878146307
3,383,0.11161894099,0.129219822478,0.0585319988903,0.142080662813,0.136542126628,0.111724599095,0.0876618892968,0.100633766189,0.0781188355649,0.0822668858473,0.0634916553984,0.0575462806905,0.0807943839666,0.0958605378348,0.0830787444105,0.0494343301646,0.092831824693,0.0580300188152,0.0965740159579
4,384,0.11503,0.13301,0.05943,0.1446,0.14175,0.11051,0.090501,0.10196,0.080029,0.082181,0.064214,0.057633,0.082839,0.095697,0.082387,0.049813,0.090511,0.057623,0.099018
5,385,0.118967016619,0.137240583823,0.0603402754017,0.147893061103,0.147800024572,0.11085833586,0.0936474543118,0.103462117915,0.0822599454153,0.0818278021731,0.0647885386163,0.0579486309563,0.0849856795099,0.0953314147184,0.0816482139443,0.050377907153,0.0877201679378,0.0575715735021,0.101565452182
6,386,0.123449645447,0.141987730637,0.0612729577415,0.15202944677,0.154718840274,0.112714403783,0.0971398234898,0.105158973553,0.0848114876645,0.0811943939705,0.065212836573,0.0584569391821,0.0872427542614,0.0947861133186,0.0808900805921,0.0511180047473,0.0846091680435,0.0578575168399,0.104251138849
7,387,0.128382882991,0.147352538981,0.0622474650546,0.156963449812,0.162322841452,0.115212617573,0.101017967965,0.107071622163,0.0875746069079,0.0803938400756,0.0655289235735,0.0589753714968,0.0896185610795,0.0941557739754,0.0802389791067,0.0519155164369,0.0818423740007,0.0582629797019,0.107159575828
8,388,0.13366,0.15341,0.063277,0.16262,0.17042,0.11745,0.10531,0.10921,0.090434,0.079557,0.065784,0.059327,0.092117,0.093534,0.079814,0.052648,0.080053,0.058565,0.11036
9,389,0.139261447754,0.160162756348,0.0643619992676,0.168991264648,0.178995668945,0.119362381592,0.110012304077,0.111560994019,0.0933750137939,0.0786846710205,0.0659864417725,0.0594887835693,0.0947301722412,0.0929518660889,0.0796165511475,0.0533047288818,0.0792939547119,0.058751005249,0.113848866577
