,wl,Macbeth - Dark Skin,Macbeth - Light Skin,Macbeth - Blue Sky,Macbeth - Foilage,Macbeth - Blue Flower,Macbeth - Bluish Green,Macbeth - Orange,Macbeth - Purplish Blue,Macbeth - Moderate Red,Macbeth - Purple,Macbeth - Yellow Green,Macbeth - Orange Yellow,Macbeth - Blue,Macbeth - Green,Macbeth - Red,Macbeth - Yellow,Macbeth - Magenta,Macbeth - Cyan,Macbeth - White,Macbeth - Neutral-8,Macbeth - Neutral-6.5,Macbeth - Neutral-5,Macbeth - Neutral-3.5,Macbeth - Black
0,380,0.064071,0.12475,0.11468,0.050734,0.12553,0.12553,0.089655,0.09683,0.12497,0.094605,0.08109,0.091491,0.062681,0.066018,0.076196,0.091101,0.12608,0.10545,0.20117,0.17297,0.15973,0.12814,0.084316,0.029522
1,381,0.0642635029087,0.126933583225,0.118182352067,0.0508169223831,0.129234106048,0.128595589944,0.0885547483179,0.0993666362211,0.12525188521,0.096237550189,0.080298183943,0.0902554610193,0.0637478201828,0.0667236759425,0.0763479033577,0.0864512239961,0.128981998904,0.107176305977,0.200526726506,0.176040220416,0.161985806388,0.130279560103,0.0847438554349,0.0294834416971
2,382,0.0644582997907,0.129170938621,0.121799836274,0.050897117038,0.13308531549,0.131721996486,0.0874469051286,0.101999569004,0.125590355114,0.0980207227497,0.0795540713592,0.0890321344946,0.064850971105,0.0674276807715,0.0764341302333,0.0820745069154,0.131987766522,0.109049321172,0.200388039025,0.179395633597,0.164422972488,0.132444332386,0.0851874942808,0.0294549127916
3,383,0.0646258579802,0.131593707772,0.125623084255,0.0509591591949,0.137167094423,0.13490774462,0.0862946130289,0.104879510936,0.125942633612,0.100219563742,0.078991012589,0.0877935428589,0.0660007877857,0.0680247890134,0.0764025119197,0.0785144832454,0.134980788971,0.111284273045,0.201543515812,0.183260325665,0.167236914904,0.134661038263,0.085677011262,0.0294490500558
4,384,0.064733,0.13434,0.12972,0.050986,0.14153,0.13814,0.085062,0.10816,0.12623,0.10308,0.078747,0.086499,0.067197,0.068378,0.076232,0.076283,0.13778,0.11407,0.20472,0.18778,0.17059,0.13696,0.086242,0.029476
5,385,0.0648075455649,0.137386996895,0.134198143258,0.0509853392568,0.146342205343,0.141518340393,0.0837692991254,0.111873976035,0.126571784113,0.106619821763,0.0787886859937,0.0851911784481,0.068489725218,0.068567804274,0.0758633924929,0.0753621557798,0.140644988873,0.117460884875,0.210085052496,0.19322700183,0.17460599673,0.139357349188,0.086881329629,0.0295407193148
6,386,0.0648775660324,0.140706983029,0.139145712096,0.0509648931482,0.151748113599,0.145137744842,0.0824409583769,0.116047985945,0.127066878551,0.110824800669,0.0790760526503,0.083906380794,0.0699223831115,0.0686605393242,0.0752623921576,0.0756723471703,0.143804203611,0.121478798968,0.21771416567,0.199810294371,0.179374722077,0.141870387074,0.0875912185818,0.0296455507439
7,387,0.065053014274,0.144134983564,0.144734770216,0.0509625491885,0.158054366572,0.149288292709,0.081181009966,0.120656602427,0.128002257524,0.115403364109,0.0793838673505,0.0827333820848,0.0715943985905,0.0688621489071,0.0744586012786,0.0764371656144,0.147909500767,0.12595236362,0.226926699522,0.207770536835,0.184980212548,0.144579361128,0.088347392782,0.0297843937492
8,388,0.065438,0.14751,0.15111,0.051014,0.16553,0.15424,0.080092,0.12567,0.12963,0.12005,0.079493,0.081751,0.073594,0.069355,0.073502,0.076866,0.15355,0.13069,0.237,0.21728,0.19147,0.14756,0.089124,0.029949
9,389,0.0660400784912,0.150806193848,0.158277067871,0.0511203687744,0.174208618164,0.160011958008,0.079186939209,0.131079801025,0.131967501221,0.124729129028,0.0793813071289,0.0809792189941,0.0759340113525,0.0701715545654,0.0723792410889,0.0768895606689,0.16080227417,0.135678566895,0.247943914795,0.228398066406,0.198832302246,0.150796594238,0.0899108662109,0.0301374569092
10,390,0.0668543476562,0.154008828125,0.166206171875,0.0512783710938,0.184072734375,0.166585,0.0784704375,0.136871445313,0.134986835937,0.129412871094,0.0790454453125,0.0804268359375,0.0786120820312,0.0713176835938,0.0710858398437,0.0764810585938,0.169654882812,0.140901484375,0.259786835938,0.241120390625,0.20701765625,0.15425984375,0.0906970234375,0.0303465507813
11,391,0.0678199727783,0.157328425293,0.174775266113,0.0514556307373,0.194900708008,0.173875463867,0.077927170166,0.143264051514,0.138262181396,0.134158807983,0.0786680454102,0.079923354248,0.0815362879639,0.0723279058838,0.0699215982666,0.0758182279053,0.179326461182,0.146292712402,0.272693658447,0.254867451172,0.21589779541,0.158034714355,0.0915083710937,0.0305616900635
12,392,0.068866,0.16097,0.18383,0.051617,0.20643,0.18176,0.077533,0.15045,0.14135,0.13903,0.078439,0.079301,0.084605,0.072747,0.069168,0.075119,0.189,0.15179,0.28685,0.26904,0.22531,0.16218,0.092367,0.030768
13,393,0.069984199585,0.164915812988,0.193314130859,0.0517636131592,0.218592515869,0.190193388672,0.0772794752197,0.158401921387,0.144199919434,0.143987159424,0.078351854248,0.0785508850098,0.087808366333,0.072561269165,0.0688599003906,0.0743402313232,0.198591795654,0.157347641602,0.302197697754,0.283550914307,0.235181098633,0.16667673584,0.0932672609863,0.0309619937744
14,394,0.0711632617187,0.169128359375,0.20315453125,0.0518976835937,0.231301992187,0.19910546875,0.0771512460938,0.167056875,0.146776796875,0.148989414062,0.078391546875,0.0776762578125,0.0911360585938,0.0717953710938,0.0690030546875,0.0734528554688,0.208040898437,0.16292390625,0.318675625,0.298333242188,0.245420546875,0.17148265625,0.09419959375,0.0311410195313
15,395,0.0723165909424,0.173348122559,0.212957216797,0.05197903479,0.244221483154,0.208075966797,0.077129852417,0.175898937988,0.149072570801,0.153893079834,0.0785001906738,0.0768896472168,0.0945125159912,0.0709267694092,0.0691010361328,0.0725549693604,0.2175331604,0.16853331543,0.336365739746,0.313525819092,0.255481469727,0.176096252441,0.0950372272949,0.031292289917
16,396,0.073362,0.17731,0.22234,0.051973,0.25702,0.21669,0.07719,0.18441,0.1511,0.15856,0.078611,0.076401,0.097869,0.070442,0.068666,0.071744,0.22727,0.17419,0.35533,0.32928,0.26484,0.18003,0.095659,0.031405
