,wl,"Lab Wall, 1994"
0,380,0.15625
1,381,0.158438129556
2,382,0.160903899522
3,383,0.164069940869
4,384,0.16834
5,385,0.173824205153
6,386,0.180596226824
7,387,0.188409146466
8,388,0.197
9,389,0.206395701904
10,390,0.216627773438
11,391,0.227981519775
12,392,0.24073
13,393,0.254838024902
14,394,0.27023609375
15,395,0.286708439941
16,396,0.30401
17,397,0.322029960938
18,398,0.340641328125
19,399,0.359705517578
20,400,0.37907
21,401,0.398574816895
22,402,0.41804984375
23,403,0.437113054199
24,404,0.45539
25,405,0.472738288574
26,406,0.48904171875
27,407,0.50417864502
28,408,0.51806
29,409,0.530630396729
30,410,0.541866992187
31,411,0.55178711792
32,412,0.56044
33,413,0.567858217773
34,414,0.57409859375
35,415,0.57947387207
36,416,0.5843
37,417,0.588668060303
38,418,0.592655585937
39,419,0.596224903564
40,420,0.59933
41,421,0.602045372314
42,422,0.604446210938
43,423,0.606692591553
44,424,0.60894
45,425,0.611231860352
46,426,0.61359859375
47,427,0.616041870117
48,428,0.61855
49,429,0.621141318359
50,430,0.6238253125
51,431,0.626539814453
52,432,0.62922
53,433,0.631859329834
54,434,0.634453398437
55,435,0.637007657471
56,436,0.63953
57,437,0.642007678223
58,438,0.64442796875
59,439,0.646812614746
60,440,0.64918
61,441,0.651527369385
62,442,0.653848710938
63,443,0.656039500732
64,444,0.658
65,445,0.659722745361
66,446,0.661210351562
67,447,0.662584798584
68,448,0.66397
69,449,0.665365415039
70,450,0.666762734375
71,451,0.668115473633
72,452,0.66937
73,453,0.670531794434
74,454,0.6716059375
75,455,0.672510041504
76,456,0.67317
77,457,0.673585892334
78,458,0.673769570313
79,459,0.67385772583
80,460,0.67399
81,461,0.674176647949
82,462,0.674420234375
83,463,0.674713615723
84,464,0.67504
85,465,0.675412537842
86,466,0.675839648437
87,467,0.676218121338
88,468,0.67645
89,469,0.67653461792
90,470,0.676482226563
91,471,0.67642300415
92,472,0.67649
93,473,0.676686636963
94,474,0.677008476563
95,475,0.677446141357
96,476,0.67798
97,477,0.6786180896
98,478,0.679363320313
99,479,0.680085216064
100,480,0.68066
101,481,0.681079150391
102,482,0.6813471875
103,483,0.681631201172
104,484,0.6821
105,485,0.682760509033
106,486,0.683609570312
107,487,0.684547640381
108,488,0.68547
109,489,0.68637994751
110,490,0.687284335938
111,491,0.688218250732
112,492,0.68922
113,493,0.690286535645
114,494,0.691414296875
115,495,0.692607907715
116,496,0.69387
117,497,0.695199346924
118,498,0.696592695313
119,499,0.69803755249
120,500,0.69952
121,501,0.701035567627
122,502,0.702579492188
123,503,0.704130853271
124,504,0.70567
125,505,0.707194208984
126,506,0.70870328125
127,507,0.710200029297
128,508,0.71169
129,509,0.713174459229
130,510,0.714656445312
131,511,0.716165330811
132,512,0.71773
133,513,0.719357248535
134,514,0.72105203125
135,515,0.722793317871
136,516,0.72456
137,517,0.726345792236
138,518,0.728144179688
139,519,0.73003230835
140,520,0.73208
141,521,0.734286225586
142,522,0.7366403125
143,523,0.738948110352
144,524,0.74102
145,525,0.742841551514
146,526,0.744414023437
147,527,0.745915904541
148,528,0.74753
149,529,0.749257125244
150,530,0.751088710937
151,531,0.752924744873
152,532,0.75466
153,533,0.756292807617
154,534,0.757824375
155,535,0.759301020508
156,536,0.76077
157,537,0.762228566895
158,538,0.763671796875
159,539,0.765031032715
160,540,0.76624
161,541,0.767295560303
162,542,0.768200585937
163,543,0.769042794189
164,544,0.76991
165,545,0.770805537109
166,546,0.771726953125
167,547,0.772607910156
168,548,0.77338
169,549,0.774049411621
170,550,0.7746265625
171,551,0.775118908691
172,552,0.77554
173,553,0.775901464844
174,554,0.776219921875
175,555,0.776545322266
176,556,0.77693
177,557,0.777389580078
178,558,0.777938046875
179,559,0.778641738281
180,560,0.77956
181,561,0.78069892334
182,562,0.78205453125
183,563,0.783572189941
184,564,0.78519
185,565,0.786895888672
186,566,0.788675703125
187,567,0.790477167969
188,568,0.79225
189,569,0.793972490234
190,570,0.795626640625
191,571,0.797224511719
192,572,0.79878
193,573,0.800280980225
194,574,0.801715351563
195,575,0.803044063721
196,576,0.80423
197,577,0.805270650635
198,578,0.806168007813
199,579,0.806932694092
200,580,0.80758
201,581,0.808111799316
202,582,0.80853234375
203,583,0.808899821777
204,584,0.80927
205,585,0.809652246094
206,586,0.810050859375
207,587,0.810409267578
208,588,0.81067
209,589,0.810834127197
210,590,0.810905898438
211,591,0.810937156982
212,592,0.81098
213,593,0.811036518555
214,594,0.811105625
215,595,0.811144575195
216,596,0.81111
217,597,0.811004074707
218,598,0.810831796875
219,599,0.810618103027
220,600,0.81039
221,601,0.810150722656
222,602,0.8099034375
223,603,0.809654628906
224,604,0.80941
225,605,0.809170513916
226,606,0.808935664062
227,607,0.808726365967
228,608,0.80856
229,609,0.808440137939
230,610,0.808367304687
231,611,0.808257337646
232,612,0.80803
233,613,0.807681253662
234,614,0.807215117188
235,615,0.806748917236
236,616,0.8064
237,617,0.806171600342
238,618,0.806058789063
239,619,0.805985201416
240,620,0.80587
241,621,0.805712722168
242,622,0.805515234375
243,623,0.805284260254
244,624,0.80503
245,625,0.804750599365
246,626,0.804446367188
247,627,0.804123555908
248,628,0.80379
249,629,0.803447609863
250,630,0.80309875
251,631,0.802778640137
252,632,0.80252
253,633,0.802325106201
254,634,0.802192070312
255,635,0.802078355713
256,636,0.80194
257,637,0.801774403076
258,638,0.801580898438
259,639,0.801366412354
260,640,0.80114
261,641,0.800899604492
262,642,0.800644140625
263,643,0.800379038086
264,644,0.80011
265,645,0.799839456787
266,646,0.799569882813
267,647,0.799300294189
268,648,0.79903
269,649,0.798760584717
270,650,0.798493867188
271,651,0.798245445557
272,652,0.79803
273,653,0.797846820068
274,654,0.797693164063
275,655,0.797560919189
276,656,0.79744
277,657,0.797328232422
278,658,0.79722265625
279,659,0.797095380859
280,660,0.79692
281,661,0.796696265869
282,662,0.796427382812
283,663,0.796121375732
284,664,0.79579
285,665,0.795432770996
