,wl,Purple,Off-white,Dark green,Torquoise,Orange,Red,Yellow
0,380,0.12656,0.44756,0.034014,0.18554,0.096201,0.063324,0.083577
1,381,0.125719227499,0.448125838781,0.0339197961356,0.187303153619,0.0926664775367,0.0612542100521,0.0829478656187
2,382,0.125004984674,0.44868603282,0.0338289619094,0.189128166866,0.0892673805323,0.0592977061154,0.0823139571247
3,383,0.124657417938,0.449237333459,0.0337480178456,0.191016934225,0.0862756632565,0.0577763048721,0.0816692307339
4,384,0.1249,0.44979,0.033682,0.19294,0.083947,0.057023,0.081008
5,385,0.12573219966,0.450340124266,0.0336307487495,0.194990104542,0.0822708146873,0.0569540733853,0.0803274282081
6,386,0.127124252766,0.450894260616,0.0335925324275,0.197239254448,0.0812053597675,0.0574695315677,0.0796252225441
7,387,0.128759184582,0.451519865174,0.0335509209364,0.199848235278,0.0803511370569,0.058015707026,0.0789005291479
8,388,0.13031,0.45229,0.033489,0.20295,0.079302,0.058054,0.078153
9,389,0.131740131836,0.453202110596,0.0334066113281,0.206558267822,0.0780246818848,0.0575296209717,0.0773822247314
10,390,0.13302625,0.454249882813,0.0333047265625,0.210656210938,0.076508734375,0.0564341914062,0.0765883242187
11,391,0.134218540039,0.455597796631,0.0331715732422,0.21490774292,0.0748372302246,0.0552061763916,0.0757675345459
12,392,0.13538,0.45739,0.032998,0.21897,0.073116,0.054303,0.074917
13,393,0.136492269287,0.459610983887,0.0327826166992,0.222813879395,0.0713267684326,0.0537220499268,0.0740438448486
14,394,0.137543554688,0.46221734375,0.0325263671875,0.226428671875,0.0694607226563,0.0534433320312,0.0731572226562
15,395,0.138444971924,0.464910090332,0.0322760307617,0.229864157715,0.0676085093994,0.0532876243896,0.0722441673584
16,396,0.13912,0.46738,0.032077,0.23319,0.06586,0.053063,0.071296
17,397,0.13957711792,0.469604597168,0.0319327322998,0.236389046631,0.0642340772705,0.0527831037598,0.0703233562012
18,398,0.139840039062,0.4715778125,0.0318427382812,0.239454023438,0.0627438320312,0.05246603125,0.0693414375
19,399,0.140132886963,0.47314317627,0.0317585631104,0.242474346924,0.0613565267334,0.0521620563965,0.0684278625488
20,400,0.14068,0.47418,0.031631,0.24554,0.060036,0.051927,0.06766
21,401,0.141496835937,0.474672452393,0.0314595526123,0.248661860352,0.0587832574463,0.0517553398437,0.06704387854
22,402,0.1425825,0.474639492188,0.0312465585937,0.251844921875,0.0575979335938,0.0516411953125,0.0665789960938
23,403,0.143901445313,0.474541702881,0.0310221734619,0.255089848633,0.0565539764404,0.0516100048828,0.0662922772217
24,404,0.1454,0.47484,0.030818,0.25839,0.055718,0.051683,0.0662
25,405,0.147081882324,0.475574468994,0.0306336564941,0.261743588867,0.0550920181885,0.0518592911377,0.0662968753662
26,406,0.148941171875,0.476754570313,0.03046759375,0.265142734375,0.0546689882813,0.0521329960937,0.0665675742187
27,407,0.15081373291,0.478172664795,0.0303120505371,0.268559174805,0.0542532850342,0.052452380249,0.0668945245361
28,408,0.15254,0.4796,0.030158,0.27196,0.053655,0.052764,0.067158
29,409,0.154097750244,0.48104286377,0.03000634021,0.275332705078,0.0528597415771,0.0530569584961,0.0673435112305
30,410,0.155478320312,0.48250640625,0.0298576914063,0.278663203125,0.0518693476562,0.053321953125,0.0674435703125
31,411,0.156793133545,0.484036921387,0.0297071055908,0.281870976562,0.0508990987549,0.0535677543945,0.0674269897461
32,412,0.15816,0.48568,0.02955,0.28488,0.050166,0.053804,0.067274
33,413,0.159574143066,0.487420152588,0.0293865183105,0.287678376465,0.0496728460693,0.0540305643311,0.0669694746094
34,414,0.16102734375,0.489238398437,0.0292175390625,0.2902628125,0.0494089179688,0.0542486054688,0.0665068359375
35,415,0.162472478027,0.490983240967,0.0290435646973,0.292681896973,0.0492150811768,0.0543815894775,0.0660320673828
36,416,0.16386,0.49251,0.028866,0.29499,0.048927,0.054361,0.065687
37,417,0.165194555664,0.493806246338,0.0286853702393,0.297188565674,0.0485433537598,0.0541821439209,0.0654849119873
38,418,0.166482890625,0.494874257812,0.0285027382812,0.299279804687,0.04807028125,0.0538498789063,0.0654278476562
39,419,0.167736586914,0.495868973389,0.0283334095459,0.301284066162,0.047577501709,0.0535625831299,0.0653236705322
40,420,0.16897,0.49695,0.028192,0.30322,0.04714,0.053513,0.064983
41,421,0.170186881104,0.498122613525,0.0280798878174,0.305100834961,0.0467537020264,0.0537081859131,0.0644035164795
42,422,0.171392460938,0.499384804688,0.0279969492187,0.3069384375,0.0464130820312,0.0541376992188,0.0635974492188
43,423,0.172606785889,0.500673377686,0.0279291917725,0.308703813477,0.0461060113525,0.0546088624268,0.0627819381104
44,424,0.17385,0.50192,0.027862,0.31037,0.045818,0.054923,0.062175
45,425,0.175129283447,0.503129404297,0.0277949504395,0.311942322998,0.0455501141357,0.0550745947266,0.0617831367187
46,426,0.176450820313,0.5043071875,0.0277281484375,0.313429335937,0.0453025273438,0.0550676171875,0.0615986015625
47,427,0.177822303467,0.505478759766,0.0276648884277,0.314919937744,0.0450730455322,0.0549511855469,0.0614752197266
48,428,0.17925,0.50667,0.027609,0.3165,0.044859,0.054784,0.06126
49,429,0.180729443359,0.507880527344,0.0275598580322,0.318175872803,0.0446611704102,0.0545597232666,0.0609573822021
50,430,0.182253203125,0.50910875,0.0275169726563,0.319945820313,0.0444806328125,0.0542749023437,0.0605780976563
51,431,0.183859707031,0.510322363281,0.0274798338623,0.321731182861,0.0442905727539,0.0539711317139,0.0601477159424
52,432,0.18558,0.51149,0.027448,0.32345,0.044067,0.053688,0.0597
53,433,0.187402387695,0.512608613281,0.0274215709229,0.32509925293,0.043808864502,0.0534321242676,0.0592306878662
54,434,0.189306484375,0.5136775,0.0274007148438,0.32667890625,0.043518625,0.0532060234375,0.0587387304688
55,435,0.191167563477,0.514748027344,0.0273880340576,0.328213500977,0.043260385498,0.0529830114746,0.0583039893799
56,436,0.19286,0.51587,0.027386,0.32973,0.043097,0.052734,0.058002
57,437,0.194357792969,0.517044597168,0.027394862793,0.331225806885,0.0430314925537,0.0524600031738,0.0578367568359
58,438,0.195641328125,0.518268671875,0.027414625,0.332698476562,0.0430616289063,0.0521623203125,0.0578035234375
59,439,0.196748310547,0.519470783691,0.027441824707,0.334126580811,0.0431355313721,0.0518384353027,0.0578258554687
60,440,0.19772,0.52058,0.027473,0.33549,0.043199,0.051487,0.057823
61,441,0.198539248047,0.52159744873,0.0275079934082,0.336790299072,0.0432527474365,0.0511019128418,0.0577921583252
62,442,0.199188203125,0.522530078125,0.0275468671875,0.338031523437,0.0432998242188,0.0506772265625,0.0577332304687
63,443,0.199602480469,0.52341904541,0.0275928024902,0.339249422607,0.0433428634033,0.050240388916,0.0576256751709
64,444,0.19972,0.52431,0.027649,0.34048,0.043388,0.049816,0.057455
65,445,0.199538106689,0.52520026001,0.0277154458008,0.341726743164,0.0434288001709,0.0494052388916,0.0572200866699
66,446,0.199060898437,0.526086289062,0.027791921875,0.3429909375,0.0434600195312,0.0490061601563,0.0569258828125
67,447,0.198309036865,0.527031072998,0.0278757006836,0.344260092773,0.0435406241455,0.0485279920654,0.0566189689941
68,448,0.19731,0.52809,0.027964,0.34552,0.043725,0.047884,0.056349
69,449,0.196071320801,0.529267905273,0.0280568308105,0.346774396973,0.0440164212646,0.0470760842285,0.0561198477783
70,450,0.194604453125,0.530560703125,0.0281543671875,0.348027109375,0.0444116835938,0.04611590625,0.0559336757812
71,451,0.19297048584,0.531822651367,0.0282576838379,0.349268366699,0.0447861485596,0.0450929821777,0.0558431820068
72,452,0.19123,0.53291,0.028368,0.35049,0.045018,0.044102,0.055894
73,453,0.189399664307,0.533816525879,0.0284855780029,0.351692553711,0.0451034261475,0.0431519406738,0.0560919837646
74,454,0.187492382812,0.5345475,0.0286107460938,0.35287828125,0.0450491601563,0.042249203125,0.0564348945312
75,455,0.185502196045,0.535208239746,0.0287432652588,0.354080043945,0.0449695860596,0.0414239519043,0.0568125811768
76,456,0.18342,0.53591,0.028883,0.35533,0.044983,0.0407,0.057115
77,457,0.181258193359,0.536654273682,0.0290302971191,0.356629163818,0.045091413208,0.0400836964111,0.0573346276855
78,458,0.179028203125,0.537439179688,0.02918559375,0.357975585938,0.0452912539062,0.0395745742187,0.0574712734375
79,459,0.176729003906,0.538258280029,0.0293521286621,0.359352315674,0.0455610794678,0.0391385784912,0.0575961877441
80,460,0.17436,0.5391,0.029533,0.36074,0.045873,0.038737,0.057784
81,461,0.171929611816,0.539970744629,0.0297285515137,0.362135799561,0.0462311196289,0.0383642922363,0.0580330045166
82,462,0.16944734375,0.540874140625,0.0299388125,0.363536132813,0.0466369296875,0.0380139609375,0.0583388945312
83,463,0.166926149902,0.541780397949,0.0301612062988,0.364928326416,0.047043777832,0.0376378435059,0.0586669510498
84,464,0.16438,0.54266,0.030393,0.3663,0.047407,0.037191,0.058981
85,465,0.161811478271,0.543511525879,0.030633947876,0.367647664795,0.047722920166,0.0366670133057,0.0592856269531
86,466,0.159222382813,0.544335859375,0.0308838398438,0.368969023437,0.047992515625,0.0360651914062,0.0595874140625
87,467,0.156663428955,0.545149362793,0.031143821167,0.37025026001,0.0482511833496,0.0354119168701,0.0598920107422
88,468,0.15418,0.54597,0.031415,0.37148,0.048537,0.034738,0.060208
89,469,0.151781425781,0.54679526123,0.0316959318848,0.372652910156,0.0488497364502,0.0340444954834,0.0605375128174
90,470,0.14947125,0.547622109375,0.0319848671875,0.373765546875,0.0491882617188,0.0333335820313,0.0608842460938
91,471,0.147121777344,0.548468596191,0.0322837937012,0.374868564453,0.0495676712646,0.032642475708,0.0612913304443
92,472,0.14461,0.54935,0.032594,0.37601,0.05,0.032006,0.0618
93,473,0.141934179687,0.55026756958,0.0329147047119,0.377191669922,0.0504863342285,0.0314313016357,0.0624146635742
94,474,0.139104375,0.551219726563,0.0332445664062,0.378410546875,0.0510245234375,0.0309217304688,0.063135484375
95,475,0.136284570312,0.55214911499,0.0335662020264,0.379578789063,0.0515806687012,0.0304374849854,0.0639293813477
96,476,0.13364,0.553,0.033863,0.38061,0.05212,0.029938,0.064761
97,477,0.131179671631,0.553768226318,0.0341332015381,0.38150006958,0.0526389383545,0.0294240900879,0.0656298291016
98,478,0.128902460938,0.554454414063,0.0343766757813,0.382251679687,0.0531356054687,0.028898796875,0.066536125
99,479,0.126715401611,0.555118184814,0.0346122266846,0.382947015381,0.0536106842041,0.0283926813965,0.0674779521484
100,480,0.12452,0.55582,0.034859,0.38367,0.054067,0.027937,0.068455
101,481,0.122319691162,0.556562915039,0.0351174494629,0.384422858887,0.0545029086914,0.02753175354,0.069464210083
102,482,0.120120664063,0.557346875,0.0353870078125,0.385203515625,0.0549182734375,0.0271752148438,0.0705035820312
103,483,0.117955704346,0.558122397461,0.0356554108887,0.385962893066,0.0553207895508,0.0268544217529,0.0715854564209
104,484,0.11586,0.55884,0.03591,0.38665,0.055719,0.026555,0.072722
105,485,0.11383122998,0.559499908447,0.0361513574219,0.387266002197,0.0561124892578,0.0262775418701,0.0739144559326
106,486,0.111866390625,0.560105507813,0.036380703125,0.387814101563,0.0565005390625,0.0260226835937,0.0751633164062
107,487,0.109953506348,0.560716014404,0.0366040742187,0.388324979248,0.056904421875,0.0257827232666,0.0764503570557
108,488,0.10808,0.56139,0.036828,0.38883,0.057343,0.025551,0.077758
109,489,0.106243750122,0.562131105957,0.0370532032471,0.389327453613,0.0578189487305,0.0253227435303,0.0790915574951
110,490,0.104442582031,0.56293890625,0.0372804101563,0.38981375,0.0583322734375,0.0250937382813,0.0804588867188
111,491,0.102695557007,0.563749694824,0.0375091605225,0.390273562012,0.0588275307617,0.0248947237549,0.0818639049072
112,492,0.10102,0.5645,0.037739,0.39069,0.059251,0.024754,0.083314
113,493,0.0994170653076,0.565186617432,0.0379702231445,0.391060738525,0.0596011021729,0.0246719570313,0.0848106292725
114,494,0.0978859726563,0.565810273438,0.0382030546875,0.391383242187,0.0598811992188,0.024645625,0.0863567226563
115,495,0.0963641265869,0.566446619873,0.0384460571289,0.391651541748,0.0601521571045,0.0245983867188,0.0880335548096
116,496,0.094792,0.56717,0.038707,0.39186,0.060476,0.024456,0.089917
117,497,0.0931667816162,0.567981004639,0.0389855737305,0.392003652344,0.0608555692139,0.0242154802246,0.0920152006836
118,498,0.0914917773438,0.568874335938,0.0392802734375,0.3920778125,0.0612903867188,0.0238807109375,0.09432775
119,499,0.0898556202393,0.569760552979,0.0395769135742,0.392083105469,0.061752557251,0.0235282805176,0.0967292680664
120,500,0.088347,0.57055,0.039861,0.39202,0.062212,0.023237,0.099095
121,501,0.0869687073975,0.571239907227,0.040130753418,0.391885587158,0.0626691654053,0.0230100565186,0.10142424646
122,502,0.0857174101562,0.571833515625,0.0403850859375,0.391676757812,0.0631247539063,0.0228469335938,0.103725730469
123,503,0.0845370157471,0.572389594727,0.0406267182617,0.391376820068,0.0635922960205,0.0227216070557,0.106089313599
124,504,0.083368,0.57297,0.040859,0.39097,0.064085,0.022605,0.10861
125,505,0.0822092913818,0.573577263184,0.0410803491211,0.390453696289,0.0645999799805,0.0224991904297,0.111292275879
126,506,0.0810612617187,0.57421234375,0.0412893359375,0.389826953125,0.065133,0.0224058984375,0.114138070312
127,507,0.079932897583,0.57485138916,0.0414864272461,0.389106625977,0.065663340332,0.0223304453125,0.117145834473
128,508,0.078835,0.57547,0.041672,0.38831,0.06617,0.022278,0.12031
129,509,0.0777635350342,0.576068983154,0.0418454724121,0.387436706543,0.0666491964111,0.0222475401611,0.123638501587
130,510,0.0767149414062,0.576649882813,0.042006125,0.38648546875,0.0670981601563,0.0222376992187,0.127136933594
131,511,0.0756860748291,0.577264127197,0.0421517229004,0.385446633301,0.0675223782959,0.0222284691162,0.130792052612
132,512,0.074674,0.57796,0.04228,0.38431,0.067928,0.022201,0.13459
133,513,0.0736786744385,0.578738511963,0.0423903592529,0.383073353271,0.0683154494629,0.0221535113525,0.138539527588
134,514,0.0727005039062,0.579595195313,0.0424823164062,0.381734414063,0.068685671875,0.0220862070312,0.142651367188
135,515,0.0717389276123,0.580444168701,0.0425550709229,0.380303526611,0.0690169470215,0.0220296082764,0.146893455811
136,516,0.070794,0.5812,0.042608,0.37879,0.06929,0.022014,0.15124
137,517,0.0698671021729,0.581857828369,0.0426404591064,0.377195861816,0.0695091419678,0.0220416116943,0.155687227783
138,518,0.0689602460937,0.582418867187,0.0426519257813,0.375522421875,0.0696823632812,0.0221126914062,0.160236132813
139,519,0.0680786629639,0.582942264404,0.0426444534912,0.373719362793,0.0698505362549,0.0221946075439,0.165064476318
140,520,0.067228,0.58349,0.04262,0.37174,0.070056,0.022255,0.17034
141,521,0.0664098438721,0.584061507568,0.042578550293,0.369584974365,0.0703076188965,0.0222945466309,0.176067246094
142,522,0.0656256914062,0.584654023438,0.0425199140625,0.367260898438,0.0706128984375,0.0223163828125,0.182231796875
143,523,0.0648859300537,0.585247510986,0.0424392749023,0.364853809814,0.0709784699707,0.0223543996582,0.188588681641
144,524,0.0642,0.58582,0.042332,0.36245,0.071409,0.022443,0.19489
145,525,0.0635692543945,0.586374296875,0.0421980371094,0.360056983643,0.0719146374512,0.022582682251,0.201116588135
146,526,0.0629937109375,0.586913515625,0.0420378046875,0.357676835937,0.0725044453125,0.0227717851563,0.207263085938
147,527,0.0624604204102,0.587435673828,0.0418563759766,0.3552640271,0.0731691447754,0.0230000330811,0.213458797607
148,528,0.061956,0.58794,0.041659,0.35277,0.0739,0.023255,0.21984
149,529,0.0614795568848,0.588427653809,0.0414462687988,0.350198753662,0.074706388916,0.0235365976563,0.226391170654
150,530,0.061030734375,0.5889009375,0.04121859375,0.347555585937,0.0755996328125,0.0238439921875,0.233091523438
151,531,0.0606142067871,0.589371135254,0.0409741413574,0.34485678833,0.076594026123,0.0241609482422,0.239879801025
152,532,0.060235,0.58985,0.040711,0.34212,0.077706,0.024472,0.24669
153,533,0.0598920095215,0.590338657227,0.0404293831787,0.339343583984,0.0789544931641,0.0247752979736,0.253516295166
154,534,0.059583984375,0.590837578125,0.0401295351562,0.336525390625,0.080360984375,0.0250706992187,0.260353710938
155,535,0.0593079963379,0.591360727539,0.0398159962158,0.333674980469,0.0819263408203,0.0253659066162,0.267175809326
156,536,0.059061,0.59192,0.039493,0.3308,0.083656,0.02567,0.27396
157,537,0.0588428864746,0.592515467529,0.0391613280029,0.327903479004,0.0855729665527,0.0259807287598,0.280685476074
158,538,0.05865371875,0.593144726562,0.0388213710937,0.32498703125,0.0877047265625,0.0262958046875,0.287333515625
159,539,0.0584910783691,0.593779263916,0.0384626090088,0.322006462402,0.0901537414551,0.0266370671387,0.293986447754
160,540,0.058353,0.59439,0.038075,0.31892,0.093021,0.027024,0.30072
161,541,0.0582379327393,0.594974544678,0.0376594327393,0.315731582031,0.0963263359375,0.0274582854004,0.307516309814
162,542,0.0581445429688,0.595532148438,0.0372179804688,0.312450546875,0.10008159375,0.0279388515625,0.314345820312
163,543,0.0580861429443,0.596063145752,0.0367623851318,0.309123408203,0.104296246094,0.0284093444824,0.3210480896
164,544,0.058075,0.59657,0.036305,0.3058,0.10897,0.028815,0.32746
165,545,0.0581097565918,0.597051160889,0.0358475900879,0.302487408447,0.114109966919,0.0291554785156,0.333559296875
166,546,0.0581872890625,0.597506445313,0.0353915859375,0.299191835938,0.119715988281,0.029435671875,0.339332734375
167,547,0.0582845217285,0.597953551025,0.0349407253418,0.295948914795,0.125711758179,0.0297040976563,0.344769326172
168,548,0.058378,0.59841,0.034498,0.29279,0.13202,0.030012,0.34987
169,549,0.0584648223877,0.598878170166,0.0340652160645,0.289723426514,0.138627325073,0.0303648249512,0.354625217285
170,550,0.0585433320312,0.599359257812,0.0336434765625,0.286752460937,0.145523878906,0.0307669140625,0.3590346875
171,551,0.0586171175537,0.599840799561,0.0332283200684,0.283830631104,0.152748331665,0.0312164064941,0.363160759277
172,552,0.058691,0.60031,0.032815,0.28091,0.16034,0.03171,0.36707
173,553,0.0587631901855,0.600768070068,0.0324037919922,0.277988878174,0.168286900635,0.0322568956299,0.370776347656
174,554,0.058832453125,0.601216914062,0.031995109375,0.275067617188,0.176574101563,0.0328661132813,0.374293203125
175,555,0.0589009445801,0.601667247314,0.0315898232422,0.27216980835,0.185146893311,0.0335380794678,0.377644052734
176,556,0.058971,0.60213,0.031189,0.26932,0.19395,0.034274,0.38085
177,557,0.0590440797119,0.602605418701,0.0307924119873,0.266513693848,0.202975187988,0.0350850754395,0.383933413086
178,558,0.0591218242187,0.603093085937,0.0303998710937,0.263744921875,0.2122175,0.03598421875,0.386915234375
179,559,0.0592007498779,0.603591920166,0.0300134390869,0.261006687012,0.221675046387,0.0369742800293,0.389773881836
180,560,0.059278,0.6041,0.029635,0.25829,0.23135,0.038061,0.39249
181,561,0.059355579834,0.604616185303,0.0292649527588,0.255597122803,0.241211688232,0.039257184082,0.395076470947
182,562,0.0594363046875,0.605138632813,0.0289034960938,0.252930273438,0.251227695312,0.0405781796875,0.397549492187
183,563,0.0595336223145,0.605664425049,0.0285454842529,0.250237052002,0.261539273682,0.0420843618164,0.400011121826
184,564,0.059661,0.60619,0.028186,0.24747,0.27227,0.043835,0.40256
185,565,0.0598218815918,0.606716213379,0.0278250769043,0.244628134766,0.283398388672,0.045847847168,0.405210633545
186,566,0.0600190390625,0.607244140625,0.0274632578125,0.241717265625,0.29488046875,0.0481368984375,0.407968867187
187,567,0.0602472248535,0.607746804199,0.0271077990723,0.238842929687,0.306311044922,0.0506747807617,0.410753443604
188,568,0.060501,0.6082,0.026766,0.23611,0.31729,0.053433,0.41348
189,569,0.0607838986816,0.608601331787,0.0264382487793,0.233524736328,0.327770993652,0.0564250966797,0.416151802979
190,570,0.0610999765625,0.608951679687,0.0261244609375,0.231085703125,0.337737265625,0.0596666328125,0.418775742188
191,571,0.0614554343262,0.609319190674,0.0258212775879,0.228729960938,0.347426008301,0.0631961308594,0.42139883667
192,572,0.061857,0.60977,0.025525,0.22639,0.35709,0.067053,0.42407
193,573,0.0623092050781,0.610308189697,0.0252356837158,0.224065863037,0.366709403076,0.0712500605469,0.426788048096
194,574,0.062816921875,0.610932148437,0.0249533789062,0.221758789062,0.376257304688,0.0757989453125,0.429549570312
195,575,0.0633833085937,0.611562625732,0.0246778636475,0.219474298096,0.38566369751,0.0807013232422,0.432344476318
196,576,0.064012,0.61212,0.024409,0.21722,0.39485,0.085958,0.43516
197,577,0.0647125380859,0.612603118896,0.024146230957,0.214986641846,0.40382071167,0.0915914614258,0.437998994141
198,578,0.065495640625,0.613016054688,0.0238890234375,0.212765039062,0.412580195312,0.0976259921875,0.440863671875
199,579,0.0663570029297,0.613415372314,0.0236380766602,0.210576644287,0.421067828369,0.104035342285,0.443720839844
200,580,0.067295,0.61386,0.023394,0.20844,0.42923,0.1108,0.44654
201,581,0.0683160323486,0.614348016357,0.0231568724365,0.206352324219,0.437046540527,0.117911139771,0.44931059082
202,582,0.0694285351563,0.614874726562,0.0229267226563,0.204307578125,0.444503515625,0.125362339844,0.452024453125
203,583,0.0707096986084,0.615435074463,0.0226988741455,0.202225888672,0.451773508301,0.13343805896,0.454780200195
204,584,0.072233,0.61602,0.022469,0.20003,0.45902,0.1424,0.45767
205,585,0.074007168457,0.616632028809,0.0222369592285,0.197714088135,0.466244595947,0.152242765625,0.460689829102
206,586,0.0760334609375,0.617271796875,0.0220031484375,0.195279492188,0.473431914063,0.16292509375,0.463824453125
207,587,0.0782335610352,0.617884914551,0.0217760280762,0.192796942139,0.480274627686,0.173960886719,0.466894165039
208,588,0.080527,0.61842,0.021564,0.19034,0.48647,0.18486,0.46972
209,589,0.0829133759766,0.618871888428,0.021367447876,0.187912913818,0.492008444824,0.195573840332,0.472288950195
210,590,0.0853962890625,0.619240742188,0.0211861289063,0.185517460938,0.49690515625,0.206082421875,0.474600703125
211,591,0.0880128710938,0.619604298096,0.0210145838623,0.183120987549,0.501391105957,0.216597790527,0.47675262207
212,592,0.090803,0.62004,0.020847,0.18069,0.50571,0.22735,0.47885
213,593,0.0937658911133,0.620549489746,0.0206831970215,0.178234425049,0.509875170898,0.238307973633,0.48089076416
