,wl,Standard brown cardboard,Red file folder,Pale blue construction paper,Bright orange paper,Grey construction paper,Brown construction paper,Yellow construction paper,Purplish blue construction paper,Pink construction paper,Green construction paper,Pale orange construction paper,Purple construction paper,Blue matte board,Blue file folder,Yellow file folder,Lime green paper,Blue poster board,Green poster board,Red construction paper
0,380,0.095383,0.1815,0.25688,0.10172,0.24593,0.13889,0.17113,0.22476,0.25656,0.1547,0.15702,0.2325,0.18602,0.24367,0.17078,0.086556,0.16311,0.098044,0.20003
1,381,0.095252407994,0.179562937444,0.26104424647,0.0997431918431,0.248318958045,0.138509402977,0.172154727614,0.227332704821,0.257422732342,0.155780866185,0.15648386929,0.236044034009,0.189004375456,0.249574452097,0.166384905136,0.0829663995741,0.165424733384,0.0976450360464,0.200674015798
2,382,0.0951214873281,0.177571476525,0.265160687425,0.0978046685855,0.250841411483,0.138124610123,0.173136885467,0.230034358553,0.258344969348,0.15692785773,0.156153770933,0.239637231983,0.192018843077,0.255461340461,0.162004873281,0.0796033163502,0.167671658194,0.09725059532,0.20144137186
3,383,0.0949122310844,0.175299765812,0.269127673714,0.0959721302169,0.253792195513,0.13763040886,0.174026212316,0.233252313682,0.259420871033,0.158178204024,0.156437541819,0.243372363036,0.195094644478,0.261288610197,0.157781016898,0.0768271914425,0.1697729395,0.0969603315056,0.202535381911
4,384,0.094529,0.1725,0.27286,0.094309,0.25746,0.1369,0.1748,0.2374,0.26076,0.15953,0.15771,0.24734,0.19825,0.26701,0.15389,0.074949,0.17168,0.096898,0.20413
5,385,0.0940361832544,0.169271491705,0.27636827882,0.0928208185071,0.261812839758,0.136010529668,0.175430226636,0.242366272101,0.262384020903,0.161049514417,0.159955614405,0.251542693245,0.201505949812,0.272634071559,0.150247938501,0.0740267583095,0.173351662294,0.0969913712147,0.206248146243
6,386,0.0934927050501,0.165716001607,0.27968301884,0.0915056141036,0.266792860908,0.135032545978,0.175911542128,0.248029613487,0.264321083657,0.162772586349,0.163105115505,0.255975274746,0.204872325807,0.278169664885,0.146786034876,0.0740585883485,0.174772682042,0.0971772098348,0.20887714283
7,387,0.0930859517145,0.162270177306,0.283037451779,0.090286472894,0.271966540732,0.134228365508,0.176399574383,0.25376467465,0.266642194848,0.164701470883,0.16653346029,0.260538098051,0.208314551365,0.283642991815,0.143238909235,0.0746118106362,0.176050582351,0.0972375025027,0.211747114135
8,388,0.092989,0.15935,0.28667,0.089084,0.2769,0.13384,0.17706,0.25897,0.26942,0.16681,0.1696,0.26513,0.21179,0.28908,0.13937,0.075223,0.17731,0.096974,0.21457
9,389,0.0932340825195,0.157010706787,0.290592333984,0.0878940334473,0.281548630371,0.133892833252,0.177865919189,0.263573193359,0.272645024414,0.169096328125,0.17224475708,0.269742521973,0.215302255859,0.294499060059,0.135158450928,0.0758641411133,0.178544567871,0.0963589581299,0.217319613037
10,390,0.0938331015625,0.155266445313,0.294800625,0.086715875,0.28589546875,0.134380976563,0.178778867187,0.26755609375,0.2762971875,0.17154046875,0.174440039062,0.274372109375,0.218853125,0.29991953125,0.130619257813,0.0765171171875,0.179748828125,0.0953910273438,0.219976132813
11,391,0.0945182426758,0.153656114502,0.299398603516,0.0855722868652,0.290163225098,0.134965648193,0.180075736084,0.271599443359,0.280686186523,0.173730527344,0.176202591553,0.279093132324,0.222325087891,0.305247521973,0.126301612549,0.0769845454102,0.181182316895,0.0944378656006,0.222404200439
12,392,0.095022,0.15171,0.30446,0.084489,0.29459,0.1353,0.18199,0.27639,0.28608,0.17527,0.17759,0.28398,0.22561,0.3104,0.12275,0.077103,0.18308,0.093866,0.22449
13,393,0.0953318867187,0.149428787842,0.309990537109,0.083466130127,0.299147017822,0.135366112061,0.184522955322,0.281917496338,0.292459338379,0.176126217041,0.17854508667,0.289018531494,0.228695701904,0.315375009766,0.119980947266,0.0768247186279,0.185455562744,0.0936833037109,0.226188635254
14,394,0.0954519609375,0.146839179687,0.31596875,0.082504859375,0.303798554687,0.135163320313,0.187630195313,0.288127695313,0.299753984375,0.176305195313,0.179033632813,0.294187851563,0.231583242188,0.320181953125,0.1179684375,0.0761370820312,0.188288789062,0.0938711875,0.227476328125
15,395,0.0956697255859,0.144241968994,0.321981572266,0.0815824616699,0.308475614014,0.134823209229,0.190419490967,0.294506278076,0.307186003418,0.176149510498,0.179374976807,0.299434715576,0.234482281494,0.325161796875,0.116373544922,0.0753976119385,0.191120535889,0.0941675400391,0.228613640137
16,396,0.09627,0.14195,0.32762,0.080679,0.3131,0.13449,0.19202,0.30052,0.31398,0.17602,0.17988,0.3047,0.2376,0.33064,0.11483,0.074971,0.19349,0.094297,0.22986
17,397,0.0972486763916,0.139964471436,0.332838425293,0.0797930571289,0.317659489746,0.134156437988,0.192366938477,0.30614482666,0.320059279785,0.175917270508,0.180570336914,0.309970040283,0.240937108154,0.336620684814,0.113322560425,0.074873270874,0.195368587646,0.0942565269775,0.231219957275
18,398,0.0985797148438,0.138273945313,0.337620234375,0.0789258203125,0.322139296875,0.133815546875,0.191469296875,0.31137796875,0.325400703125,0.175829296875,0.181441875,0.315230429687,0.244477382812,0.343072773437,0.111839980469,0.0751008867187,0.196757695312,0.0940526601563,0.232680195313
