,wl,Standard brown cardboard,Red file folder
0,380,0.095383,0.1815
1,381,0.095252407994,0.179562937444
2,382,0.0951214873281,0.177571476525
3,383,0.0949122310844,0.175299765812
4,384,0.094529,0.1725
5,385,0.0940361832544,0.169271491705
6,386,0.0934927050501,0.165716001607
7,387,0.0930859517145,0.162270177306
8,388,0.092989,0.15935
9,389,0.0932340825195,0.157010706787
10,390,0.0938331015625,0.155266445313
11,391,0.0945182426758,0.153656114502
12,392,0.095022,0.15171
13,393,0.0953318867187,0.149428787842
14,394,0.0954519609375,0.146839179687
15,395,0.0956697255859,0.144241968994
16,396,0.09627,0.14195
17,397,0.0972486763916,0.139964471436
18,398,0.0985797148438,0.138273945313
19,399,0.0999773348389,0.136766490479
20,400,0.10115,0.13532
21,401,0.102088184082,0.1339465271
22,402,0.10279865625,0.132659804688
23,403,0.103376132324,0.131461885986
24,404,0.10393,0.13036
25,405,0.104454804687,0.12934609375
26,406,0.104948359375,0.128414296875
27,407,0.105471240234,0.127644208984
28,408,0.10608,0.12711
29,409,0.106783465576,0.126803155518
30,410,0.107583164062,0.126704492187
31,411,0.108457945557,0.126722718506
32,412,0.10938,0.12676
33,413,0.110350864258,0.126795577393
34,414,0.11136953125,0.126809414062
35,415,0.112357280273,0.126749818115
36,416,0.11324,0.12657
37,417,0.114010802002,0.126261260986
38,418,0.114671132813,0.125823398438
39,419,0.115312855225,0.125207835693
40,420,0.11603,0.12438
41,421,0.116825126953,0.12334612793
42,422,0.117695859375,0.12212578125
43,423,0.118607167969,0.120927954102
44,424,0.11952,0.11996
45,425,0.120436080322,0.119237906494
46,426,0.121356835938,0.118761289062
47,427,0.122276414795,0.118478114014
48,428,0.12319,0.11832
49,429,0.124094711914,0.118290106201
50,430,0.12498875,0.118384414062
51,431,0.125873178711,0.118462633057
52,432,0.12675,0.11839
53,433,0.12761927124,0.118145499268
54,434,0.128481679687,0.117720507812
55,435,0.129343204346,0.117234251709
56,436,0.13021,0.11681
57,437,0.131081400146,0.116443256836
58,438,0.131956132812,0.116123828125
59,439,0.132845772705,0.115780737305
60,440,0.13376,0.11534
61,441,0.134701882324,0.114803455811
62,442,0.135673046875,0.114176289062
63,443,0.136621936035,0.113467330322
64,444,0.1375,0.11269
65,445,0.138303710938,0.111845732422
66,446,0.13903453125,0.11093875
67,447,0.139786074219,0.110004892578
68,448,0.14065,0.10908
69,449,0.141629885254,0.108167575928
70,450,0.142721796875,0.107268210937
71,451,0.143828151855,0.106398512939
72,452,0.14485,0.10557
73,453,0.145785006104,0.104785450928
74,454,0.146636601563,0.104043414063
75,455,0.147461600342,0.103266678955
76,456,0.14832,0.10238
77,457,0.149211109619,0.101379209106
78,458,0.150132460938,0.100266800781
79,459,0.151068026123,0.0991062347412
80,460,0.152,0.097964
81,461,0.152930043945,0.0968427591553
82,462,0.1538596875,0.0957430195313
83,463,0.154794526367,0.0946502979736
84,464,0.15574,0.093548
85,465,0.156697000732,0.0924420375977
86,466,0.157666210937,0.091338296875
87,467,0.15862947876,0.0902364291992
88,468,0.15957,0.089137
89,469,0.160485565186,0.0880425731201
90,470,0.161375664063,0.0869565117188
91,471,0.162285924072,0.0858955142822
92,472,0.16326,0.084876
93,473,0.164299605713,0.0838975489502
94,474,0.165402226562,0.0829578710937
95,475,0.166501141357,0.0820686380615
96,476,0.16753,0.081238
97,477,0.168486671143,0.0804678789062
98,478,0.169373867188,0.07975759375
99,479,0.170241077881,0.0790333828125
100,480,0.17114,0.078225
101,481,0.172070982666,0.077329668457
102,482,0.173032382812,0.076352046875
103,483,0.174013143311,0.0753809624023
104,484,0.175,0.074507
105,485,0.175994880371,0.0737337044678
106,486,0.1769990625,0.0730595898438
107,487,0.178003596191,0.0724550411377
108,488,0.179,0.071886
109,489,0.179988796387,0.0713538812256
110,490,0.18097171875,0.0708590664063
111,491,0.181948371582,0.0703890567627
112,492,0.18292,0.069932
113,493,0.18388685791,0.0694859327393
114,494,0.18485015625,0.0690504726563
115,495,0.185841286621,0.0686150872803
116,496,0.18689,0.068172
117,497,0.18799668457,0.0677189802246
118,498,0.189158203125,0.06725596875
119,499,0.190346137695,0.0668352658691
120,500,0.19153,0.066507
121,501,0.192707489014,0.0662727749023
122,502,0.193876914063,0.0661291015625
123,503,0.195022281494,0.0660167299805
124,504,0.19613,0.065875
125,505,0.197196741943,0.0657027058105
126,506,0.198221835937,0.065502046875
127,507,0.199230831299,0.0652843937988
128,508,0.20025,0.065065
129,509,0.20128137207,0.0648411568604
130,510,0.202325859375,0.0646116367187
131,511,0.203372563477,0.064416383667
132,512,0.20441,0.064293
133,513,0.205441169434,0.0642467962646
134,514,0.2064696875,0.0642792773437
135,515,0.207500666504,0.0643291524658
136,516,0.20854,0.064336
137,517,0.209587695312,0.0642983731689
138,518,0.210643671875,0.0642194023438
139,519,0.211728310547,0.064167427124
140,520,0.21286,0.064211
141,521,0.214039954834,0.0643517225342
142,522,0.215266757812,0.0645866679687
143,523,0.216500108643,0.0648665172119
144,524,0.2177,0.06514
145,525,0.218863703613,0.0654076040039
146,526,0.219991328125,0.0656720546875
147,527,0.221113024902,0.0659471450195
148,528,0.22226,0.066249
149,529,0.223431595459,0.0665767424316
150,530,0.224625742188,0.066930078125
151,531,0.225827247314,0.067321064209
152,532,0.22702,0.067761
153,533,0.228205887451,0.0682528151855
154,534,0.229387539063,0.068798296875
155,535,0.230559976807,0.0693838859863
156,536,0.23172,0.069996
157,537,0.232867849121,0.0706345981445
158,538,0.234005234375,0.0713004296875
159,539,0.235162727051,0.0720124243164
160,540,0.23637,0.072789
161,541,0.237627724609,0.0736312126465
162,542,0.23893359375,0.074538625
163,543,0.240270771484,0.075485904541
164,544,0.24162,0.076448
165,545,0.242979315186,0.0774248658447
166,546,0.244346210937,0.0784184335938
