,wl,Rocks,Pine Needles,Silver Maple leaf,Maple dark green leaf,Bush leaf,Tree leaf,Weed leaf,Red bush leaf,Red Maple leaf,Bush fern-like leaf,Grass,Soil,Locust leaf,Vine leaf,Oak leaf,Weed tree leaf,Daisy -- White petals,Daisy -- Yellow center,Buttercup flower,Small magenta flower,Small magenta flower (from vine),Bark,Bark -- Pine,Marigold -- Orange,Marigold -- Yellow,Pink flower (Plant had red leaves),Red flower (Plant had red leaves),Asphalt,Dark blue jeans,White/gray wool sock,Green aqua-sock,blue/magenta rubber (flo-ho flip-flop),Synthetic cloth blue (with surfing harness),Synthetic cloth red (with surfing harness),Dark blue towel,Red towel,Light blue towel,Sneakers -- Orange,Sneakers -- White (dirty leather),Brown leather (Bass saddle shoe),Brown suede (Bass saddle shoe),Red rubber (Bass saddle shoe),Dark blue cotton sweat pants,Red letters on t-shirt,Green snow-hat,Light green towel,Banana yellow (just turned),Wheat bread,Wheat bread crust,Pancake,Ripe brown banana,Highlighter pen (plastic),Swiss army knife (plastic),Green key ring (plastic),Green sport shirt,White sport shirt,White T-shirt,Faded jeans,Purple EZ-rig (plastic),Leather brown belt,Black backpack,Dark blue bandana,Skin -- Caucasian (Light),Skin -- East Indian (Dark),Hair -- Black,Skin -- East Indian (Light),Skin -- Caucasian,Hair -- Red,Skin -- Caucasian (Dark),Skin -- African American,Skin -- Asian,Hair -- Brown,Hair -- Gray/Black,"Skin -- Caucasian (Dark, with makeup)",Skin -- Caucasian (with makeup),Hair -- Blonde,Skin -- Caucasian (arm),Wood -- Pine,Wood -- Pine treated,Wood -- Maple,Wood -- Oak,Bamboo,Wood -- Pine (whiter),Wood -- Worm,Wood -- Redwood,Wood -- Walnut,Bark Chip I,Bark Chip II,Bark Chip III,Cucumber,Prune (with specularities),Corn (raw),Corn husk,Apple Yellow Delicious,Kiwi outside,Green pepper,Peach skin -- Yellow,Peach skin -- Red,Lemon skin,Cabbage,Lettuce,Carrot,Pear,Sugar (White),Bay leaf,Barley seeds,Lentil seeds,Sesame seeds,Brown rice seeds,Sand,Almond,Walnut,Brown paper bag,Straw from broom,Gum  -- Green,Denim,Fabric -- Green,Fabric  -- White,Yarn  -- Yellow,Suede  -- Gray,Fabric  -- Pink,Fabric  -- Dark brown,Table cloth -- White,Fabric  -- Pink II,Fabric -- Brown,Raincoat -- Yellow,Raincoat -- Blue,Raincoat -- Magenta/red,Cotton shirt -- Blue,Cotton cloth -- Light gray
0,380,0.0,-2.77555756156e-17,0.0,5.55111512313e-17,0.0,-5.55111512313e-17,5.55111512313e-17,8.32667268469e-17,0.0,-4.16333634234e-17,0.0,-2.77555756156e-17,-8.32667268469e-17,0.0,-5.55111512313e-17,-2.77555756156e-17,2.22044604925e-16,-8.32667268469e-17,1.38777878078e-16,0.0,1.11022302463e-16,-5.55111512313e-17,-2.22044604925e-16,1.11022302463e-16,0.0,-5.55111512313e-17,-1.11022302463e-16,-5.55111512313e-17,5.55111512313e-17,2.22044604925e-16,3.33066907388e-16,1.11022302463e-16,0.0,2.77555756156e-17,0.0,-1.11022302463e-16,4.4408920985e-16,-1.66533453694e-16,-4.4408920985e-16,5.55111512313e-17,5.55111512313e-17,-1.66533453694e-16,0.0,-1.66533453694e-16,-1.11022302463e-16,0.0,2.22044604925e-16,1.11022302463e-16,-5.55111512313e-17,-2.77555756156e-17,2.77555756156e-17,0.0,-1.38777878078e-17,1.66533453694e-16,-2.22044604925e-16,6.66133814775e-16,2.22044604925e-16,-2.22044604925e-16,2.22044604925e-16,8.32667268469e-17,0.0,-1.66533453694e-16,2.22044604925e-16,-2.22044604925e-16,-5.55111512313e-17,1.11022302463e-16,3.33066907388e-16,1.11022302463e-16,1.66533453694e-16,2.77555756156e-17,0.0,2.77555756156e-17,2.77555756156e-17,0.0,-4.4408920985e-16,-5.55111512313e-17,1.11022302463e-16,0.0,0.0,3.33066907388e-16,1.11022302463e-16,0.0,-1.66533453694e-16,-1.11022302463e-16,-1.11022302463e-16,0.0,-5.55111512313e-17,0.0,-1.66533453694e-16,2.77555756156e-17,-2.77555756156e-17,1.11022302463e-16,-2.77555756156e-17,-1.66533453694e-16,-2.77555756156e-17,1.38777878078e-17,1.11022302463e-16,0.0,-5.55111512313e-17,1.11022302463e-16,5.55111512313e-17,-1.11022302463e-16,-5.55111512313e-17,8.881784197e-16,-5.55111512313e-17,-6.66133814775e-16,0.0,0.0,5.55111512313e-17,1.11022302463e-16,-1.11022302463e-16,-1.11022302463e-16,-3.33066907388e-16,0.0,4.4408920985e-16,3.33066907388e-16,2.77555756156e-17,-2.22044604925e-16,6.66133814775e-16,-2.22044604925e-16,4.4408920985e-16,-1.11022302463e-16,4.4408920985e-16,-1.33226762955e-15,2.22044604925e-16,1.11022302463e-16,0.0,3.33066907388e-16,-5.55111512313e-17,0.0
1,381,0.00148293982693,0.000256511662679,0.000362910833769,0.000488655404269,0.000445266241776,0.000515787955106,0.000610896615206,0.000390501411109,0.000408429276316,0.000220197905764,0.000261648077714,0.000225397750635,0.000387128415632,0.000564308276017,0.000279577695126,0.000444440602572,0.00106151479329,0.000313210227273,0.000304436584181,0.00125073615991,0.000745916309996,0.000797454980001,0.00066000707891,0.000303657904082,0.000378329540782,0.000711724824312,0.000635264536296,0.000685986328125,0.000924073901017,0.00340127992767,0.00128556720058,0.00158711264578,0.00110474590685,0.000434473707573,0.000686355693032,0.000769408128364,0.00208531056089,0.000761447158156,0.00263092385616,0.000493094791978,0.000539026054127,0.000632612047697,0.000659945401278,0.000736396928267,0.00121751890046,0.00191585091769,0.00215954414623,0.00179593978955,0.000575424968227,0.000458649586947,0.000483846651652,0.0021559549286,0.000184315191388,0.000517440985721,0.000943912020597,0.00377446709592,0.00297661576705,0.00209130485571,0.00222264947481,0.000286910324462,0.000323615173632,0.000569841039922,0.00204840140457,0.000819491066089,0.000165583414324,0.00102418335545,0.00149701844722,0.000412781754635,0.000772388279381,0.000372205933201,0.00176645192416,0.000134228749252,0.000247439093339,0.00137604863655,0.00186730711722,0.00055932570462,0.0018463086872,0.000975835101114,0.000817519134083,0.00116035109525,0.00106989559192,0.000735893694864,0.000836605557528,0.000766076835377,0.000716988099021,0.000773152240954,0.000885642078162,0.000830658221815,0.000856135989833,0.000344025213068,0.000274401329807,0.00177534822163,0.000466746177856,0.000725646096554,0.00040014064369,0.000202661132812,0.00114226237758,0.00068154518821,0.000650355580891,0.00149630319696,0.000811336301959,0.0011012162642,0.000738158595619,0.00804739563864,0.000596164422286,0.0028981295791,0.00100583916623,0.00219205561734,0.000968455512672,0.00172711806594,0.00111484386681,0.00101179421165,0.00135767676249,0.000440082867636,0.00421455942546,0.00133922218432,0.000356972259083,0.00385323644027,0.00271337878944,0.00262598964563,0.00457048456657,0.00136979291268,0.00426603571696,0.00755988232188,0.000817749373879,0.00125400822836,0.000971632962022,0.00142417365991,0.000797891279157,0.00199201227946
2,382,0.00354067733254,0.00061475777512,0.000870114383971,0.00116790894139,0.00106891447368,0.00123365355861,0.00145775269139,0.000934845992823,0.000980098684211,0.000525265400718,0.000624383223684,0.000538595245215,0.000927568032297,0.00135237739234,0.000666267942584,0.00106465311005,0.00254078199761,0.000758806818182,0.000747293660287,0.00297708582536,0.00176627168062,0.00190395110646,0.00157276839115,0.000736520633971,0.00092267867823,0.00170124102871,0.00151935930024,0.0016359375,0.00219612739234,0.0081027250299,0.00306905651914,0.00372037978469,0.00260856758373,0.00104360421651,0.00163784389952,0.00183686453349,0.00497131055622,0.00181266073565,0.00620355861244,0.00117731384569,0.00128942882775,0.00150904605263,0.00156569602273,0.00176441761364,0.0029238374701,0.00457283941388,0.00516196172249,0.00428489084928,0.00138273773923,0.00109746561005,0.00115659763756,0.00510966656699,0.000444751794258,0.0012388083134,0.00225461647727,0.00898535436603,0.00708948863636,0.00496510167464,0.00517698116029,0.000683851674641,0.000775362589713,0.00135391746411,0.00489563023325,0.00196703050239,0.000395349880383,0.00243928304426,0.00357281698565,0.000989055023923,0.00184549192584,0.000884318929426,0.00422387485048,0.000321321770335,0.000591570723684,0.00330979739833,0.00445737141148,0.00134016895933,0.00440977870813,0.0023248243122,0.00194672174043,0.00276048145933,0.00255364458732,0.0017685743122,0.00198444602273,0.00183317882775,0.00171827526914,0.00184268092105,0.00211596516148,0.00198414324163,0.00204810107656,0.000823295454545,0.000649682266746,0.00420900493421,0.00111223833732,0.00174269961124,0.000957580741627,0.00048203125,0.00273128364234,0.00162990056818,0.00157360944976,0.00356574835526,0.00193844946172,0.00265113636364,0.00177013307416,0.0191757214414,0.00142561677632,0.00690728169856,0.00239863561603,0.00523182939593,0.00231375224282,0.00411879485646,0.00267081713517,0.00242599431818,0.00323861393541,0.0010658006878,0.0100748430024,0.00320077377392,0.000852971740431,0.00920954694976,0.00650418286483,0.00626589413876,0.0108886401017,0.00327413277512,0.0101649222488,0.0179900680323,0.0019647951555,0.0030108590012,0.00232002093301,0.00339271082536,0.00190282595694,0.0047430472488
3,383,0.0040537910717,0.000705507999402,0.000998817728581,0.00133801876962,0.00122798622533,0.0014139831835,0.00166841427744,0.00107210792651,0.00112567845395,0.000601041160474,0.000714631733141,0.000616960297361,0.00106433269008,0.00155198022578,0.000761922005831,0.00122146101226,0.00291352165259,0.000876669034091,0.000870269979815,0.00340192438883,0.00201168358908,0.00217982942864,0.00179848714582,0.000851527689519,0.00107032242916,0.00194916595021,0.00174141150662,0.00187163085937,0.00250705835078,0.00926388949892,0.00351355529493,0.00420991748281,0.00296565817509,0.0011993373159,0.00187455003364,0.00210293319191,0.00568629389859,0.00207148636083,0.0070464647503,0.00134792784184,0.00147805117374,0.00172674239309,0.00178541148793,0.00202456720526,0.00335969448546,0.00523448457125,0.00591421482506,0.00490362192546,0.00158948513195,0.00125822859039,0.00132519052314,0.00582290739945,0.000512569153708,0.00142075335489,0.0025820201527,0.0102683941855,0.00810431463068,0.00566443303304,0.00583389302669,0.000782108814294,0.000889666543623,0.00154535408568,0.00560859199779,0.00225957405054,0.000452645129336,0.0027884236459,0.00408952835302,0.00113490066163,0.00211389779269,0.00100933797006,0.00484051344292,0.000368488804575,0.000677864155016,0.00380694562556,0.00510259606758,0.00153777825022,0.00504993458433,0.00265808058743,0.00222510711816,0.0031533544221,0.00292311007121,0.00203317824368,0.00226265758168,0.00210178164249,0.00197188049024,0.00210734734786,0.0024236165754,0.00227230136999,0.00234777586722,0.000943971946023,0.00073989433033,0.00479752903988,0.00127186495402,0.00200254198284,0.00109793613562,0.000550561523438,0.00312998315547,0.0018680020419,0.00181662071995,0.00407758146587,0.00222030151951,0.00305105646307,0.00203219595731,0.0219271300977,0.00163380576686,0.00789943135093,0.00274415102142,0.00598863134065,0.0026501108562,0.00471217806145,0.00306434694135,0.00278492098722,0.00370580727609,0.00123107956882,0.0115436072537,0.0036669563257,0.000977060243159,0.0105510445481,0.0074652429024,0.00717111524372,0.0124494508588,0.0037512111244,0.0116231426622,0.0205540787838,0.00225839726936,0.00345925479871,0.00265634064743,0.00387887751383,0.00217698349656,0.00542099422473
4,384,-8.32667268469e-17,5.20417042793e-18,-1.38777878078e-17,3.46944695195e-18,-1.04083408559e-17,3.46944695195e-18,-2.08166817117e-17,3.46944695195e-18,-3.46944695195e-18,1.73472347598e-18,1.21430643318e-17,1.56125112838e-17,3.46944695195e-18,-4.85722573274e-17,6.93889390391e-18,1.04083408559e-17,-5.55111512313e-17,3.46944695195e-18,1.73472347598e-17,4.16333634234e-17,0.0,-1.38777878078e-17,1.38777878078e-17,-6.93889390391e-18,-1.04083408559e-17,2.08166817117e-17,6.93889390391e-18,-2.08166817117e-17,2.08166817117e-17,2.77555756156e-17,0.0,0.0,0.0,0.0,2.08166817117e-17,-6.93889390391e-18,-9.71445146547e-17,-1.38777878078e-17,-5.55111512313e-17,-3.46944695195e-18,-6.93889390391e-18,2.08166817117e-17,-3.46944695195e-17,2.08166817117e-17,-1.38777878078e-17,-1.38777878078e-17,0.0,1.38777878078e-17,-6.93889390391e-18,2.08166817117e-17,1.04083408559e-17,0.0,0.0,-1.73472347598e-17,-6.93889390391e-18,-2.49800180541e-16,2.77555756156e-17,6.93889390391e-17,-9.71445146547e-17,-6.93889390391e-18,3.46944695195e-18,6.93889390391e-18,6.93889390391e-17,-6.93889390391e-18,-1.73472347598e-18,6.93889390391e-18,0.0,-1.38777878078e-17,-6.93889390391e-18,-1.04083408559e-17,6.93889390391e-17,-3.46944695195e-18,8.67361737988e-18,-1.38777878078e-17,0.0,6.93889390391e-18,0.0,0.0,-6.93889390391e-18,0.0,-8.32667268469e-17,-6.93889390391e-18,-1.38777878078e-17,2.08166817117e-17,-3.46944695195e-17,1.38777878078e-17,0.0,-2.08166817117e-17,-3.46944695195e-17,-1.73472347598e-17,6.93889390391e-18,5.55111512313e-17,-1.38777878078e-17,6.93889390391e-18,-1.73472347598e-17,1.73472347598e-18,-1.38777878078e-17,6.93889390391e-18,6.93889390391e-18,-5.55111512313e-17,-6.93889390391e-18,-2.77555756156e-17,-6.93889390391e-18,-1.66533453694e-16,0.0,2.77555756156e-17,6.93889390391e-18,-8.32667268469e-17,6.24500451352e-17,-2.77555756156e-17,-1.38777878078e-17,3.46944695195e-17,-2.77555756156e-17,6.93889390391e-18,1.38777878078e-16,4.16333634234e-17,1.38777878078e-17,-2.49800180541e-16,-8.32667268469e-17,-1.66533453694e-16,5.55111512313e-17,6.93889390391e-17,8.32667268469e-17,0.0,-6.93889390391e-18,-4.16333634234e-17,2.08166817117e-17,4.16333634234e-17,-6.93889390391e-18,2.77555756156e-17
5,385,-0.00608721520821,-0.00105788451564,-0.00149823564593,-0.00200805950256,-0.00184088263261,-0.00212238483338,-0.00250484905334,-0.00160874058482,-0.00168681961863,-0.000903019984487,-0.00107402472245,-0.000926074452377,-0.00159697107927,-0.00232749549099,-0.00114540075275,-0.00183240429454,-0.00435982677697,-0.00131164217862,-0.00129629344301,-0.00510633176959,-0.00302484469619,-0.00327349333695,-0.00270266644784,-0.00127389482562,-0.00159654891457,-0.00292156842245,-0.00261396239066,-0.00281135253906,-0.0037666800613,-0.0139200424851,-0.00527604887018,-0.00635142652886,-0.00446339923183,-0.00179936686977,-0.00281385988664,-0.00315842121617,-0.00853658172753,-0.00311394113057,-0.0106071600371,-0.00202425069855,-0.00221791612543,-0.00259504137541,-0.00268568004261,-0.00303747003729,-0.00503928368673,-0.00785515557248,-0.00887918835508,-0.00736366702723,-0.00238182425613,-0.00188882519298,-0.00198936095899,-0.00876752602609,-0.000767368444415,-0.002132638506,-0.00387684437145,-0.0154225529283,-0.0121785700018,-0.00851525026166,-0.00881119822817,-0.00117505250776,-0.00133399220152,-0.00232395194752,-0.00842006917707,-0.00338653552772,-0.000679571270372,-0.00419199002645,-0.00614405587666,-0.00170263555061,-0.00317281856263,-0.00151920510616,-0.00726486325789,-0.000552660139896,-0.00101704230058,-0.00570052986693,-0.0076633221932,-0.00230551956396,-0.00758219198565,-0.00399349061519,-0.00334307908054,-0.00473801468115,-0.00438819153708,-0.00304682313472,-0.00340668834339,-0.00315368272699,-0.00295659086237,-0.00316571430407,-0.00363809025961,-0.00341157267447,-0.00352318962134,-0.00141739723899,-0.0011146842409,-0.00721814286081,-0.00191137268943,-0.0030027045291,-0.00164798624869,-0.000828735351562,-0.00469847937771,-0.0028035489169,-0.00271876466012,-0.0061277292352,-0.00333275333386,-0.00457028253729,-0.00304657841003,-0.032950015069,-0.00245063348067,-0.0118710474334,-0.00412335859235,-0.00899608662436,-0.00397832066294,-0.00707793669632,-0.00459542797034,-0.00417591219815,-0.00556618967741,-0.001839785752,-0.0173321654105,-0.00550428349983,-0.00146735886569,-0.0158299340937,-0.0111994939047,-0.0107700859982,-0.0187112621253,-0.00563171264064,-0.0174571167576,-0.0309001937355,-0.00338569797352,-0.00518931878925,-0.00398805258719,-0.00582903684771,-0.00326950893858,-0.00814316412091
6,386,-0.012130375299,-0.00210528745514,-0.00298288726077,-0.00399938135467,-0.00366293174342,-0.00422796239533,-0.00499039697967,-0.00320384644139,-0.00335479029605,-0.00180047473086,-0.00214222861842,-0.00184475179426,-0.00318034726376,-0.00463269662081,-0.0022850684061,-0.00364844310706,-0.00865636027213,-0.00260564630682,-0.00256448676734,-0.0101693779904,-0.00603366664175,-0.00652380382775,-0.00538958769438,-0.00253054351077,-0.00316229253888,-0.00581078610945,-0.00520744991029,-0.00560390625,-0.00750847787081,-0.0277558481609,-0.010513961573,-0.0127075807416,-0.00891059360048,-0.00358357505981,-0.00560502205443,-0.00629533119019,-0.0170054164175,-0.00621159913278,-0.0211784109599,-0.00403426098983,-0.0044169239683,-0.00517569901316,-0.00536008522727,-0.00604847301136,-0.0100332143391,-0.0156422510467,-0.017691697817,-0.0146741346441,-0.00473741028708,-0.00376328685706,-0.00396338591507,-0.0175156623804,-0.00152510840311,-0.00424883560108,-0.00772507102273,-0.0307354721142,-0.0242851207386,-0.0169837470096,-0.0176430023923,-0.00234273138457,-0.00265465385766,-0.00463720095694,-0.0167761625299,-0.00673660847787,-0.00135395110646,-0.00836299902811,-0.0122502710078,-0.00339030352871,-0.006319824686,-0.00303430771531,-0.0144703685706,-0.0011000392494,-0.00202504111842,-0.011329881878,-0.0152736113188,-0.0045874215012,-0.0151079844498,-0.00796158604964,-0.00666489421352,-0.0094460152512,-0.00874187350478,-0.00606041417464,-0.00680578835227,-0.0062802052183,-0.00588349282297,-0.00631067023026,-0.00724743944378,-0.00679745626495,-0.00701678379187,-0.00282475142045,-0.0022281343451,-0.0144086965461,-0.00381179537978,-0.00597631765849,-0.00328300313995,-0.00165546875,-0.00936043099581,-0.00558416193182,-0.00540231571471,-0.0122201480263,-0.00663887372907,-0.00908753551136,-0.006061815939,-0.0657060219797,-0.00487808388158,-0.0236736599133,-0.00822219086423,-0.0179342890251,-0.00792572144139,-0.0141081788278,-0.0091463086872,-0.00831072443182,-0.0110947742225,-0.00365013270036,-0.0345373897279,-0.0109649129037,-0.00292465983852,-0.0315175500897,-0.0223005663128,-0.0214654792165,-0.037319336872,-0.0112209124551,-0.0347916566986,-0.0616428472638,-0.0067373635616,-0.0103333433014,-0.00794566574462,-0.0116240654904,-0.00651604739833,-0.0162311098236
7,387,-0.0119201029362,-0.00206701385644,-0.00292915202602,-0.00392879872299,-0.00359568449322,-0.00415354990982,-0.00490354237534,-0.00314686880887,-0.00329256206312,-0.00176980774802,-0.00210604826275,-0.00181236566425,-0.00312358743038,-0.00454883291436,-0.00224688650615,-0.00358303356992,-0.00849059445322,-0.00255440451882,-0.00250712475936,-0.00999224029979,-0.00593492957302,-0.00641096016186,-0.0052985551898,-0.00248054362758,-0.00309455478796,-0.00570457798716,-0.00511591247851,-0.00550788574219,-0.0073816210003,-0.0272861423328,-0.0103318117571,-0.0125252537193,-0.0087697581022,-0.00351912800912,-0.00550700560939,-0.00618685343619,-0.0167095984646,-0.00610792218806,-0.0208467726128,-0.00396451532829,-0.00433853549501,-0.00508826968544,-0.00527303799716,-0.00594025102095,-0.00985160180781,-0.0153663563706,-0.017382662628,-0.0144204876621,-0.00464929491253,-0.00369721814023,-0.00389396225049,-0.0172402107786,-0.00149581047679,-0.00417399674557,-0.00759070712003,-0.0302093855716,-0.0238752519087,-0.016702193294,-0.0174035969273,-0.00230288909474,-0.00260638842423,-0.00456102861468,-0.0164829282624,-0.00661216433584,-0.00133035742655,-0.00822358147288,-0.0120412351763,-0.00332957792875,-0.00620869660446,-0.00298577489533,-0.0142151013242,-0.00108020959882,-0.00198900724712,-0.0111146624551,-0.01501017348,-0.00450374095862,-0.0148450770036,-0.00782627029054,-0.00655181873084,-0.00928638256018,-0.00858928024073,-0.00594779128663,-0.006698367587,-0.0061684915497,-0.00577636742113,-0.0062029714484,-0.00712041517924,-0.00667898854525,-0.00689243257513,-0.00277546941584,-0.00219379292903,-0.0141765708522,-0.00374749557276,-0.0058671858062,-0.00322514333041,-0.00162897949219,-0.00919615957452,-0.00548559348366,-0.00529711242384,-0.0120138928865,-0.00652237502103,-0.00891622758345,-0.00595086150101,-0.0645954857347,-0.00479058259663,-0.0232738732735,-0.00808270100133,-0.0176270952873,-0.00778705435575,-0.0138662824275,-0.00898069928183,-0.00815951926491,-0.0109043143971,-0.00357629318602,-0.0339353821093,-0.0107724124014,-0.00287407214881,-0.0309565972871,-0.0219005507182,-0.0210957170258,-0.0366921978964,-0.0110248263564,-0.0341947784278,-0.0606172397741,-0.00661358222049,-0.0101470672753,-0.00780718912371,-0.0114279336592,-0.00640389351731,-0.0159542877051
8,388,1.38777878078e-17,8.67361737988e-18,0.0,3.46944695195e-18,-3.46944695195e-18,3.46944695195e-18,-1.38777878078e-17,-1.04083408559e-17,0.0,1.73472347598e-18,1.73472347598e-18,0.0,-1.04083408559e-17,0.0,-3.46944695195e-18,3.46944695195e-18,-1.38777878078e-17,-1.21430643318e-17,1.21430643318e-17,2.08166817117e-17,1.38777878078e-17,-2.08166817117e-17,2.08166817117e-17,5.20417042793e-18,1.04083408559e-17,2.08166817117e-17,3.46944695195e-18,-1.38777878078e-17,6.93889390391e-18,8.32667268469e-17,2.08166817117e-17,1.38777878078e-17,6.93889390391e-18,-1.04083408559e-17,6.93889390391e-18,0.0,-1.38777878078e-17,-6.93889390391e-18,5.55111512313e-17,-1.04083408559e-17,3.46944695195e-18,3.46944695195e-18,6.93889390391e-18,-1.38777878078e-17,6.93889390391e-18,-4.16333634234e-17,4.16333634234e-17,0.0,0.0,-1.04083408559e-17,-6.93889390391e-18,0.0,1.73472347598e-18,-1.73472347598e-17,6.93889390391e-18,-2.77555756156e-17,5.55111512313e-17,1.38777878078e-17,-5.55111512313e-17,1.73472347598e-18,8.67361737988e-18,-1.38777878078e-17,2.77555756156e-17,6.93889390391e-18,3.46944695195e-18,-2.08166817117e-17,-2.77555756156e-17,0.0,6.93889390391e-18,-3.46944695195e-18,1.38777878078e-17,-3.46944695195e-18,1.73472347598e-18,-2.77555756156e-17,-2.77555756156e-17,-1.04083408559e-17,-5.55111512313e-17,1.38777878078e-17,0.0,6.93889390391e-18,-6.93889390391e-18,2.08166817117e-17,-1.38777878078e-17,-6.93889390391e-18,-1.38777878078e-17,6.93889390391e-18,-1.38777878078e-17,-6.93889390391e-18,6.93889390391e-18,0.0,-3.46944695195e-18,1.38777878078e-17,3.46944695195e-18,0.0,1.38777878078e-17,0.0,-7.6327832943e-17,0.0,-6.93889390391e-18,-1.38777878078e-17,-6.93889390391e-18,-6.93889390391e-18,6.93889390391e-18,-1.11022302463e-16,-6.93889390391e-18,2.77555756156e-17,6.93889390391e-18,2.77555756156e-17,6.93889390391e-18,-6.93889390391e-17,-6.93889390391e-18,-6.93889390391e-18,-2.77555756156e-17,-3.46944695195e-18,-5.55111512313e-17,-2.77555756156e-17,0.0,-2.77555756156e-17,-5.55111512313e-17,2.77555756156e-17,5.55111512313e-17,-4.16333634234e-17,0.0,1.11022302463e-16,0.0,-2.08166817117e-17,1.38777878078e-17,-4.16333634234e-17,6.93889390391e-18,1.38777878078e-17
9,389,0.0243120605469,0.00421669921875,0.00597282714844,0.00801477050781,0.00733326416016,0.00847037353516,0.0100044433594,0.00641751708984,0.00671826171875,0.00360887451172,0.00429282226562,0.00369689941406,0.00636884765625,0.00927843017578,0.00458059082031,0.00730726318359,0.0173587036133,0.00520534667969,0.00511080322266,0.0204052246094,0.0121190795898,0.0130749633789,0.0108056274414,0.00505366210938,0.00631147460938,0.0116500854492,0.0104326538086,0.0112344116211,0.0150681274414,0.055655078125,0.0210731323242,0.0255758789062,0.0179077636719,0.00717088623047,0.0112372680664,0.0126167114258,0.0341026733398,0.0124561767578,0.0425789916992,0.00808530273437,0.00884948730469,0.010373046875,0.0107577514648,0.012112890625,0.0200802246094,0.0313615966797,0.0354479003906,0.0294166992187,0.00948291015625,0.00753803710938,0.00794138183594,0.0351527099609,0.00304986572266,0.00850939941406,0.0154812988281,0.0616545410156,0.0486977783203,0.0340869750977,0.0355695922852,0.00469700927734,0.00531755371094,0.00930343017578,0.0336153930664,0.0134886230469,0.00271381835938,0.0167673095703,0.0245507324219,0.00678958740234,0.012665637207,0.00608560791016,0.028993737793,0.00220390625,0.00405821533203,0.0226784790039,0.0306122314453,0.00918937988281,0.0302778076172,0.0159648925781,0.0133666503906,0.018949609375,0.0175244140625,0.01213046875,0.0136552856445,0.0125815795898,0.0117845092773,0.0126533447266,0.0145243408203,0.0136225952148,0.0140578979492,0.00565737304687,0.00447220458984,0.0289226318359,0.00764216308594,0.0119621337891,0.00657607421875,0.00331893310547,0.0187539428711,0.0111883544922,0.0107953979492,0.0244997436523,0.0133049194336,0.0181823730469,0.0121399047852,0.131737792969,0.00977607421875,0.0474605834961,0.0164814331055,0.035943347168,0.0158834472656,0.0282836425781,0.0183206420898,0.0166431274414,0.0222407592773,0.00729594726563,0.0691968383789,0.0219722045898,0.00585992431641,0.0631682861328,0.0446545654297,0.0430276000977,0.0748231689453,0.0224830688477,0.0697706176758,0.123623791504,0.0134844482422,0.0206811523438,0.0159257568359,0.0233073608398,0.0130637695312,0.0325553344727
