,wl,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,380,1.11022302463e-16,1.38777878078e-17,4.16333634234e-17,-4.4408920985e-16,0.0,0.0,0.0,1.38777878078e-17,0.0,-1.11022302463e-16,-1.38777878078e-17,4.16333634234e-17,-6.93889390391e-18,-1.11022302463e-16,1.66533453694e-16,-1.38777878078e-17,-4.16333634234e-17,0.0,0.0,0.0,-1.38777878078e-17,0.0,2.22044604925e-16,1.11022302463e-16,-2.77555756156e-17,-2.77555756156e-17,0.0,6.66133814775e-16,1.11022302463e-16,-4.16333634234e-17,-2.77555756156e-17,-4.16333634234e-17,-4.4408920985e-16,-1.11022302463e-16,1.38777878078e-17,0.0,-1.66533453694e-16,-1.11022302463e-16,1.11022302463e-16,-1.11022302463e-16,6.93889390391e-18,4.16333634234e-17,4.4408920985e-16,-5.55111512313e-17,0.0,6.93889390391e-18,-2.77555756156e-17,1.11022302463e-16,-5.55111512313e-17,5.55111512313e-17,-6.93889390391e-18,-4.16333634234e-17,-5.55111512313e-17,0.0,-1.11022302463e-16,-1.38777878078e-17,0.0,0.0,-1.11022302463e-16,0.0,-1.38777878078e-17,4.16333634234e-17,0.0,-2.22044604925e-16,0.0,1.66533453694e-16,-1.38777878078e-17,5.55111512313e-17,0.0,-5.55111512313e-17,2.77555756156e-17,-2.77555756156e-17,-5.55111512313e-17,1.11022302463e-16,-2.22044604925e-16,-2.77555756156e-17,-2.77555756156e-17,-1.38777878078e-17,2.77555756156e-17,-2.22044604925e-16,-8.32667268469e-17,2.77555756156e-17,0.0,0.0,2.22044604925e-16,0.0,1.38777878078e-17,1.38777878078e-17,2.22044604925e-16,2.22044604925e-16,1.11022302463e-16,-2.77555756156e-17,4.16333634234e-17,-1.11022302463e-16,6.66133814775e-16,4.4408920985e-16,2.77555756156e-17,5.55111512313e-17,0.0,-6.66133814775e-16,0.0,1.38777878078e-17,-5.55111512313e-17,1.11022302463e-16,6.66133814775e-16,2.22044604925e-16,2.22044604925e-16,-4.4408920985e-16,-2.22044604925e-16,0.0,0.0,2.22044604925e-16,-2.22044604925e-16,1.11022302463e-16,1.38777878078e-17,-6.66133814775e-16,-4.4408920985e-16,2.22044604925e-16,-2.22044604925e-16,-3.46944695195e-18
1,381,0.00129246107768,0.000147499953275,0.000164058995589,0.00239236809397,0.001396631093,0.000308973394513,0.000180659740393,0.000128766424006,0.00209688913446,0.00144883384887,0.000156137975665,0.000177243290221,0.000120760246897,0.00209726550819,0.000835462769139,0.000220869701331,0.000155288856908,0.00102143099114,0.00123506899017,0.00134001593339,0.000158922580555,0.000140275960676,0.00280900785455,0.00182398874383,0.000472412810257,0.000156572522615,0.000143627228805,0.00257537964451,0.0012541953639,0.000196918104254,0.000189254308089,0.000144628438995,0.00247374401914,0.0015919213984,0.000251011139354,0.000142933705891,0.000868963184996,0.00155485489403,0.000587160539399,0.00132030887878,8.75352777362e-05,0.000176310766485,0.00210158574593,0.000522930294931,0.00124086668754,9.48679070724e-05,0.000416310345955,0.00207290354459,0.000556807084517,0.000273027250299,0.000110708194714,0.000156423935594,0.00055391384289,0.000844394461162,0.00107695277456,0.00024278418436,0.000302337792501,0.000294023928118,0.00119057944266,0.000383518171539,0.000164234566574,0.000221112206564,0.000512375009345,0.00250784754411,0.00115815663315,0.000759625565378,0.000228314471815,0.000521186850516,0.00116734134364,0.000760639741888,0.000305334414249,0.00028847118907,0.000186947704844,0.00101970927407,0.00211785882831,0.000324764970843,0.000246195377916,0.000179006709779,0.000350117631392,0.00273356699966,0.00037193819621,0.000250241921165,0.00013364211087,0.000254835152512,0.00280045498935,0.00113521921258,0.000224894517232,0.000142019405091,0.000796674547697,0.00281494467703,0.00119947644101,0.000246783768503,0.000227487080405,0.00144953508149,0.00287459220339,0.00171475870963,0.000250613038278,0.000830275890588,0.00227968341152,0.00288448515532,0.00219921653054,0.000208489318556,0.000547734515176,0.00201421903035,0.00274042513177,0.00305209797398,0.00292931182715,0.00272757971367,0.0026020776484,0.000831038099955,0.00283089535362,0.0028963675613,0.00278070973666,0.00195497135728,0.000146089427893,0.00286877873617,0.00280165174566,0.00227699097264,0.00166263340124,5.97056995739e-05
2,382,0.0030506055622,0.000356048145933,0.000394235944976,0.0055801659689,0.00327757177033,0.000736939294258,0.000436015998804,0.000310014204545,0.00490949835526,0.00339503962321,0.000376992374402,0.000428513755981,0.00028895409689,0.00489793286483,0.00196166267943,0.000532109748804,0.000375986842105,0.00241156922847,0.0028996000299,0.00314070723684,0.000384610496411,0.000339025119617,0.00656549416866,0.00426418585526,0.001107715311,0.000379235197368,0.000346190938995,0.00601818929426,0.00294428453947,0.000465897876794,0.000456735944976,0.00034798145933,0.00577728767943,0.00373169108852,0.000593122009569,0.000339234449761,0.00205689668062,0.00366532969498,0.00139603020335,0.00312341880981,0.000208649820574,0.000420323714115,0.00492698489833,0.00124012410287,0.00293627766148,0.000226233552632,0.000990382027512,0.00486675014952,0.00132379261364,0.000652721291866,0.000264088666268,0.000371714264354,0.00131561378589,0.0020043847189,0.0025562985945,0.000577676435407,0.000719576106459,0.000703681967703,0.00282194228469,0.000915688546651,0.000391765101675,0.000526607356459,0.00121941537081,0.00588576555024,0.00274915520335,0.00179650493421,0.000543518241627,0.00124125672847,0.00276616701555,0.00181524745813,0.000738419557416,0.000698661782297,0.00045158492823,0.00241281399522,0.00497045080742,0.000784674043062,0.000595282595694,0.000430861244019,0.000837855113636,0.00639225104665,0.000896445125598,0.000606036931818,0.00031829395933,0.000612858851675,0.00654836647727,0.00270168585526,0.00054275194378,0.000337892494019,0.00189654605263,0.00658600478469,0.00284760017943,0.000594942434211,0.000542624850478,0.00342905203349,0.00671488113038,0.00404825059809,0.000604575358852,0.00196528483852,0.00534640026914,0.00675243346292,0.00516072443182,0.000501981160287,0.0013006055622,0.0047293361244,0.00640063172847,0.00714137260766,0.00685209330144,0.00638498803828,0.00608169108852,0.00196584180622,0.00662105263158,0.00677661483254,0.00652074985048,0.00458563845694,0.000345390998804,0.0067085152512,0.00655116626794,0.00532912679426,0.00390754336124,0.000142684659091
3,383,0.00346733351712,0.00041043309846,0.000453185509495,0.00629404320238,0.00371155521083,0.000843184388083,0.000502561607543,0.000356789328835,0.00555121427837,0.00384089075116,0.000434642620178,0.000494442938846,0.000331279320238,0.00552901243365,0.00222215535287,0.000612644615356,0.000434225945724,0.00274149467797,0.00328439731142,0.00355364155016,0.000444061775755,0.000391104870664,0.00741537583639,0.0048168881065,0.00125370860123,0.000438076942845,0.000398708390961,0.00679630938808,0.00333485171669,0.000530349483216,0.000526427696995,0.000400327078349,0.00652176472787,0.00422274572929,0.000674624327153,0.000386933219946,0.00234215233908,0.00416268257981,0.00159411656138,0.00355524481814,0.000238635662754,0.000480778890363,0.00557574445369,0.00141378378252,0.00334280602852,0.000258822471217,0.0011313174015,0.00551270921333,0.00151157892401,0.00074791697817,0.000302188504598,0.000424314420417,0.00150130118776,0.00228645042894,0.00291594355095,0.000659957666717,0.000822212241141,0.000806858716171,0.00321602099843,0.00104838832143,0.000448278983814,0.000601972983328,0.00139330400531,0.00666541053005,0.00313601109263,0.00204450169613,0.000621129494991,0.00141888725609,0.00315195300819,0.00207769337339,0.000852189322294,0.000807032885392,0.000520786296352,0.00274676986767,0.00562882506448,0.000905047753439,0.000686917099656,0.000495791436154,0.000960651189631,0.00722197230581,0.00103239839545,0.000700015536222,0.000363852468974,0.000704846366627,0.00739813343395,0.00308690763775,0.000625571335788,0.000386001397092,0.00216736739309,0.00744341357656,0.0032485713685,0.00068527318051,0.00062088453667,0.00390307967629,0.00758123399652,0.00460191107207,0.000696654455742,0.00223780920585,0.00605176330274,0.00763424381822,0.00584381436435,0.00057774068294,0.00148393507962,0.00535732328424,0.00722582084984,0.00807145727422,0.00774304911782,0.00721871215236,0.00686883947929,0.00223753901577,0.00748135793586,0.00765891802482,0.00738055250542,0.00519119248094,0.000392991295043,0.00757934757214,0.00740129756654,0.00602419024746,0.0044291288969,0.000163456587358
4,384,5.55111512313e-17,-1.73472347598e-18,-1.73472347598e-18,-1.11022302463e-16,-1.38777878078e-17,-6.93889390391e-18,5.20417042793e-18,2.60208521397e-18,4.16333634234e-17,5.55111512313e-17,1.73472347598e-18,-5.20417042793e-18,1.73472347598e-18,6.93889390391e-17,2.08166817117e-17,8.67361737988e-18,5.20417042793e-18,-6.93889390391e-18,4.16333634234e-17,-1.38777878078e-17,-5.20417042793e-18,-5.20417042793e-18,2.77555756156e-17,1.38777878078e-17,1.73472347598e-17,1.73472347598e-18,0.0,-2.77555756156e-17,1.38777878078e-17,-6.93889390391e-18,8.67361737988e-18,-1.73472347598e-18,-8.32667268469e-17,-2.77555756156e-17,-6.93889390391e-18,0.0,-6.93889390391e-18,1.38777878078e-17,0.0,2.77555756156e-17,-2.60208521397e-18,1.04083408559e-17,8.32667268469e-17,1.04083408559e-17,-5.55111512313e-17,0.0,3.46944695195e-18,0.0,0.0,0.0,-1.73472347598e-18,1.73472347598e-18,2.08166817117e-17,0.0,-6.93889390391e-18,5.20417042793e-18,1.73472347598e-17,6.93889390391e-18,-1.38777878078e-17,-2.08166817117e-17,6.93889390391e-18,-3.46944695195e-18,2.77555756156e-17,2.77555756156e-17,0.0,-1.38777878078e-17,5.20417042793e-18,1.04083408559e-17,4.16333634234e-17,-6.93889390391e-18,-3.46944695195e-18,6.93889390391e-18,1.73472347598e-18,-3.46944695195e-17,-5.55111512313e-17,2.08166817117e-17,-5.20417042793e-18,-6.93889390391e-18,6.93889390391e-18,-1.38777878078e-16,1.73472347598e-17,-1.56125112838e-17,2.60208521397e-18,3.46944695195e-18,-5.55111512313e-17,-2.77555756156e-17,-1.73472347598e-18,3.46944695195e-18,-6.93889390391e-18,0.0,1.38777878078e-17,-1.73472347598e-18,-8.67361737988e-18,-2.77555756156e-17,-8.32667268469e-17,-1.38777878078e-17,-1.73472347598e-18,2.77555756156e-17,2.77555756156e-17,8.32667268469e-17,-6.93889390391e-17,-1.73472347598e-18,-6.93889390391e-18,-5.55111512313e-17,-8.32667268469e-17,1.38777878078e-16,-5.55111512313e-17,-2.77555756156e-17,1.11022302463e-16,-2.08166817117e-17,-8.32667268469e-17,-5.55111512313e-17,2.77555756156e-17,-1.38777878078e-17,-1.73472347598e-18,5.55111512313e-17,1.38777878078e-16,0.0,-2.77555756156e-17,-2.16840434497e-18
5,385,-0.00522511903316,-0.00061459248374,-0.000679531495309,-0.00950326079592,-0.0055979360188,-0.00126702664754,-0.000752063046688,-0.000534621360085,-0.00837321263363,-0.0057919495505,-0.000650469999907,-0.000739404004841,-0.000497077788577,-0.00834076587732,-0.00334931985225,-0.000917614804501,-0.000649372944079,-0.00413115339507,-0.00495323340311,-0.00536273257607,-0.000663952811939,-0.000584918475721,-0.0111815469404,-0.00726791478207,-0.00189175727516,-0.00065487317537,-0.000597085498281,-0.0102464700069,-0.00502636526007,-0.000797930820593,-0.000787612549996,-0.000599892122552,-0.00983568459835,-0.00636759821696,-0.00101575881009,-0.000582045910119,-0.00352408786025,-0.00627145044062,-0.00239687727787,-0.00535127881794,-0.000358553682902,-0.000722279584237,-0.00841095467161,-0.00212708237935,-0.0050314862557,-0.000388766961349,-0.00170046252383,-0.00831067385149,-0.00227249200994,-0.00112277627607,-0.000453873717386,-0.000638073029587,-0.00225790840404,-0.0034395034717,-0.00438581081555,-0.000991946513345,-0.00123563933304,-0.00121060948714,-0.00483878004448,-0.00157500992916,-0.000673298258074,-0.000904609059603,-0.00209407369075,-0.0100477880743,-0.00471639632084,-0.00307805497019,-0.000933557537754,-0.00213182478179,-0.00474324875243,-0.00312043661455,-0.00127480188397,-0.00120672449723,-0.000779422449723,-0.00413437523363,-0.00848772913007,-0.00135416049501,-0.00102780294464,-0.00074293242094,-0.00144131525213,-0.0108894752612,-0.00154601437509,-0.00104662198153,-0.000546828157708,-0.00105641593386,-0.0111516246449,-0.00463881321957,-0.000936831358403,-0.000580176073284,-0.00325583239104,-0.0112199690093,-0.00488557473507,-0.00102608963816,-0.000932624488356,-0.00587481525914,-0.0114330136532,-0.00692993905829,-0.00104270708732,-0.00336808649821,-0.00912516996393,-0.0115072161661,-0.00881135586825,-0.000865775864889,-0.00223164979488,-0.00807887576163,-0.0108993052505,-0.0121651558762,-0.0116706884065,-0.0108772564318,-0.0103608843498,-0.0033682467666,-0.0112752621299,-0.0115418416731,-0.0111169262462,-0.00782852993468,-0.000591894589657,-0.0114254760158,-0.0111561880887,-0.00908746121785,-0.00667630072051,-0.000245402388139
6,386,-0.0104455704246,-0.00122178902512,-0.00135253625897,-0.0190240897877,-0.0111973048744,-0.00252667090311,-0.00149400044856,-0.00106342329545,-0.0167474917763,-0.0115820162978,-0.00129231272428,-0.00146788838218,-0.000989869916268,-0.0166822069378,-0.00669485459031,-0.00182446919856,-0.00128930921053,-0.00825841432416,-0.00990702003589,-0.0107324424342,-0.00131793884569,-0.00116128326854,-0.0223545305024,-0.0145404605263,-0.00378566462321,-0.00129969161184,-0.00118699162679,-0.0204813584031,-0.0100468133224,-0.00159259307715,-0.00156425500897,-0.0011932808762,-0.0196663389653,-0.0127330293062,-0.00202885578648,-0.00116169071471,-0.00703444789175,-0.012533005009,-0.00478203311902,-0.0106855244468,-0.000714911034689,-0.00143993533194,-0.016825975628,-0.00424603954844,-0.0100470488188,-0.000774917763158,-0.00339150530801,-0.0166155689294,-0.00453323863636,-0.00223693742524,-0.000904640774522,-0.00127316649222,-0.00450576779306,-0.00686510541268,-0.0087524801884,-0.00197836797249,-0.00246403820275,-0.00241066836124,-0.00965914324163,-0.00314023250598,-0.00134199312201,-0.00180388195275,-0.00417626719498,-0.0200867467853,-0.00941132999402,-0.00614775904605,-0.00186190938995,-0.00425021119916,-0.00947018166866,-0.00621931257476,-0.0025317284689,-0.00239558163876,-0.00154862066388,-0.00825568929426,-0.0169735253439,-0.00268981197667,-0.00204168286483,-0.00147781474282,-0.00286995738636,-0.021770310631,-0.00307331227572,-0.00207755681818,-0.0010905465012,-0.00210175874701,-0.0222867897727,-0.00924983552632,-0.00186255233254,-0.00115711161782,-0.00648976151316,-0.0224243776166,-0.00974876084031,-0.00203955592105,-0.00185904044557,-0.0117308780652,-0.0228594198565,-0.0138431350927,-0.00207174043062,-0.00672521680622,-0.018246774073,-0.0229983889055,-0.0176193536932,-0.00172229926734,-0.00445299229964,-0.0161575470993,-0.0217970861992,-0.0243102721292,-0.0233228244617,-0.0217314387709,-0.0207213105562,-0.00672651016746,-0.0225302631579,-0.023061234674,-0.0222035716956,-0.0156562817733,-0.00118267232356,-0.0228356870514,-0.0222954620215,-0.0181774521531,-0.0133470207835,-0.000488955965909
7,387,-0.0102871711694,-0.00119843317789,-0.00132781304902,-0.0187620784778,-0.011034591923,-0.00248384758616,-0.00146496885747,-0.00104354802912,-0.0165062024568,-0.0114133346339,-0.00126722563967,-0.0014387665525,-0.000972263755981,-0.0164444838236,-0.00659525975862,-0.00178994444341,-0.00126368215461,-0.008132940411,-0.00976247289922,-0.0105798918072,-0.00129163508803,-0.00113830712423,-0.0220305287922,-0.0143340589021,-0.00373160780035,-0.0012735833419,-0.00116441270746,-0.0201831151643,-0.00989737291838,-0.00156704866692,-0.00153369683809,-0.0011710383219,-0.0193834555594,-0.0125472361879,-0.00199715587853,-0.00114281554884,-0.00692172156521,-0.0123420464475,-0.00470296268737,-0.0105164130836,-0.000702774909353,-0.00141538652484,-0.0165834368692,-0.00417755862879,-0.00988790785502,-0.000761633943257,-0.00333480563369,-0.0163701037539,-0.00445801225142,-0.00219775746907,-0.000889091995458,-0.00125222185491,-0.0044320133775,-0.00675361900512,-0.0086097332092,-0.00194525677987,-0.00242259346264,-0.00236770895634,-0.00950372051622,-0.00308652705872,-0.00131893129486,-0.00177344795483,-0.00410621180192,-0.0197896551543,-0.00925741825378,-0.0060512290553,-0.00183068532259,-0.00417811863365,-0.00931873493103,-0.00611215464031,-0.00248188546651,-0.00234776955929,-0.00151856601843,-0.0081249633205,-0.0167249640798,-0.00263723197097,-0.00200173456657,-0.00145023491234,-0.00281877885298,-0.0214539464923,-0.00301480561033,-0.00203601296165,-0.00107219798987,-0.0020628155722,-0.0219595791903,-0.00909401983964,-0.00182704704321,-0.00113774711937,-0.00637923648232,-0.0220947483483,-0.00958918065705,-0.00200060649671,-0.00182717407811,-0.0115452152526,-0.0225299423875,-0.0136282787852,-0.00203170604067,-0.0066184275942,-0.0179797609758,-0.0226594447378,-0.0173608786843,-0.00169018139999,-0.0043800056421,-0.0159211929248,-0.0214852475399,-0.0239513868122,-0.0229792639335,-0.0214076542758,-0.0204243602114,-0.00662041389429,-0.0221975174753,-0.0227193338933,-0.0218671887265,-0.0154280268181,-0.00116434629887,-0.0225010467675,-0.0219679231927,-0.0179166356721,-0.0131485212554,-0.000480418812145
8,388,-6.93889390391e-18,1.73472347598e-18,0.0,-2.77555756156e-17,4.16333634234e-17,0.0,-5.20417042793e-18,-2.60208521397e-18,-1.38777878078e-17,-1.38777878078e-17,8.67361737988e-19,0.0,1.73472347598e-18,5.55111512313e-17,0.0,-1.73472347598e-18,-1.73472347598e-18,6.93889390391e-18,6.93889390391e-18,1.38777878078e-17,0.0,-2.60208521397e-18,-2.77555756156e-17,4.16333634234e-17,0.0,0.0,2.60208521397e-18,-2.77555756156e-17,2.77555756156e-17,3.46944695195e-18,-1.73472347598e-18,2.60208521397e-18,-4.16333634234e-17,-1.38777878078e-17,-6.93889390391e-18,4.33680868994e-18,2.77555756156e-17,1.38777878078e-17,-3.46944695195e-18,-1.38777878078e-17,-2.60208521397e-18,-3.46944695195e-18,-1.38777878078e-17,6.93889390391e-18,0.0,3.46944695195e-18,0.0,-4.16333634234e-17,3.46944695195e-18,-1.73472347598e-18,8.67361737988e-19,2.60208521397e-18,1.73472347598e-17,-2.08166817117e-17,-1.38777878078e-17,-5.20417042793e-18,1.73472347598e-18,-1.56125112838e-17,1.38777878078e-17,-1.04083408559e-17,-1.73472347598e-18,-3.46944695195e-18,2.08166817117e-17,1.38777878078e-17,0.0,1.38777878078e-17,-1.73472347598e-18,1.38777878078e-17,-2.08166817117e-17,-1.38777878078e-17,-3.46944695195e-18,8.67361737988e-18,-1.73472347598e-18,3.46944695195e-17,-1.38777878078e-17,-3.46944695195e-18,-1.73472347598e-18,1.73472347598e-18,3.46944695195e-18,5.55111512313e-17,-1.04083408559e-17,0.0,-2.60208521397e-18,-5.20417042793e-18,5.55111512313e-17,2.08166817117e-17,5.20417042793e-18,4.33680868994e-18,6.93889390391e-18,0.0,-6.93889390391e-18,1.73472347598e-18,-1.73472347598e-18,0.0,-1.11022302463e-16,2.77555756156e-17,3.46944695195e-18,-6.93889390391e-18,-4.16333634234e-17,2.77555756156e-17,9.71445146547e-17,0.0,-1.73472347598e-17,9.71445146547e-17,-8.32667268469e-17,-1.38777878078e-16,-8.32667268469e-17,-5.55111512313e-17,4.16333634234e-17,-3.46944695195e-17,-5.55111512313e-17,0.0,8.32667268469e-17,-4.16333634234e-17,-1.73472347598e-18,0.0,0.0,1.38777878078e-17,-1.38777878078e-17,8.67361737988e-19
9,389,0.0209848999023,0.00244281005859,0.00270670166016,0.0383404296875,0.0225303222656,0.00506435546875,0.00298796386719,0.00212740478516,0.0337230102539,0.0233175537109,0.0025841796875,0.00293489990234,0.00198311767578,0.0336183837891,0.0134720336914,0.00364971923828,0.00257662353516,0.0165896728516,0.0199321289063,0.0215994140625,0.00263441162109,0.00232204589844,0.0450447998047,0.0292897827148,0.00761798095703,0.0025974609375,0.00237426757812,0.0412757080078,0.0202185302734,0.00319897460937,0.00312877197266,0.00238762207031,0.0396360473633,0.025632019043,0.00407579345703,0.00233122558594,0.0141272460938,0.0251912841797,0.00959248046875,0.0214608276367,0.00143328857422,0.00288685302734,0.0338650268555,0.00852233886719,0.0201767822266,0.00155354003906,0.00680277099609,0.0334337280273,0.00909400634766,0.00448194580078,0.0018134765625,0.00255421142578,0.00904045410156,0.0137756835938,0.0175641967773,0.00396806640625,0.00494202880859,0.00482934570312,0.019390222168,0.00629261474609,0.00269022216797,0.00361727294922,0.00837602539063,0.0404242919922,0.0188867553711,0.0123472290039,0.00373392333984,0.00852347412109,0.0190111083984,0.0124659912109,0.00506082763672,0.00478725585938,0.00309621582031,0.0165795898437,0.0341550537109,0.00537799072266,0.00408114013672,0.00295660400391,0.00574968261719,0.0438612060547,0.00614755859375,0.00415192871094,0.00218674316406,0.00420570068359,0.0449079467773,0.0185528564453,0.00372406005859,0.00232091064453,0.0130173828125,0.0451764282227,0.019563269043,0.00407957763672,0.00372664794922,0.0235605102539,0.0460689453125,0.0278162109375,0.00414372558594,0.0135047485352,0.0367263916016,0.0463249389648,0.035457019043,0.00344532470703,0.00893552246094,0.032507409668,0.0439263305664,0.0489769897461,0.0469913574219,0.0437790039063,0.0417486938477,0.0135092651367,0.0453979614258,0.0464639038086,0.0447107055664,0.0315090698242,0.00237517089844,0.0460119873047,0.0449257446289,0.0366057739258,0.0268489135742,0.000979760742187
