,wl,The new S language,Combinatorial ALgorithms,Compilers (dragon),Compilers (blue book),Computer Organization (red book),Topology (green book),Data and Computer Communications (yellow book)
0,380,0.074541,0.031178,0.13405,0.27587,0.076024,0.069286,0.11812
1,381,0.0774670167908,0.0317776503018,0.129246572754,0.279054743676,0.0748287560568,0.0696615513863,0.116672581912
2,382,0.080602489384,0.0325003039773,0.124582578125,0.282388929052,0.0735793997084,0.0700744421352,0.115171797772
3,383,0.0842248367715,0.0335842271839,0.120415593262,0.286051924564,0.0721434787528,0.0706336862968,0.11355567862
4,384,0.088587,0.035267,0.11712,0.29018,0.070393,0.07145,0.11179
5,385,0.0937994719957,0.0375511868786,0.11462441687,0.294860144142,0.068355502609,0.0724923237386,0.109847909284
6,386,0.0999404760205,0.0404232414773,0.112843417969,0.300137808575,0.0660724101936,0.0737222928753,0.107727406736
7,387,0.106949201368,0.0436381913175,0.111277338501,0.305889186071,0.0637700200692,0.0749352960795,0.105528761998
8,388,0.11474,0.04695,0.10944,0.31196,0.061676,0.075931,0.10337
9,389,0.123321077393,0.0503372271729,0.10726674292,0.318353635254,0.0598252178955,0.0766883796387,0.101262781982
10,390,0.132684015625,0.0537915976563,0.1047305,0.32506265625,0.0582395429687,0.0772030546875,0.0992225390625
11,391,0.142887963623,0.0575640975342,0.102387389893,0.331791228027,0.0568478812256,0.0775957053223,0.0975149729004
12,392,0.15397,0.061901,0.10079,0.33826,0.05557,0.077997,0.096386
13,393,0.165885425903,0.0667843223877,0.0999323280029,0.34445026001,0.0544079517822,0.0784012697754,0.0958531932373
14,394,0.178567230469,0.0721742617188,0.0997692226563,0.350376523437,0.0533598320312,0.0788007421875,0.0959014804687
15,395,0.191642540405,0.0777721400146,0.0996493873291,0.356269227295,0.0525556365967,0.079203604248,0.0962376636963
16,396,0.20474,0.083274,0.098923,0.36238,0.052111,0.079612,0.096554
17,397,0.217772432861,0.0886478914795,0.0975685317383,0.368734147949,0.052021798584,0.0800352075195,0.0968292023926
18,398,0.230673710937,0.0938772460938,0.095609890625,0.375356953125,0.05226625,0.080478640625,0.097052046875
19,399,0.243601156006,0.0990663189697,0.0935248452148,0.382351486816,0.0524823654785,0.0808746538086,0.0972006862793
20,400,0.25672,0.10433,0.091811,0.38981,0.052317,0.081158,0.09727
21,401,0.269946452637,0.109630886841,0.0904669415283,0.397764929199,0.0517484519043,0.0813261300049,0.0972333746338
22,402,0.283184296875,0.114928292969,0.0894707382813,0.406233984375,0.050785765625,0.0813825195312,0.0970761835937
23,403,0.296301115723,0.12022658728,0.0886876195068,0.415217365723,0.0497237844238,0.0814133255615,0.0968985545654
24,404,0.30915,0.12552,0.087962,0.4247,0.048871,0.081505,0.096803
25,405,0.321660098877,0.130780556396,0.0873165593262,0.434655152588,0.0482232824707,0.0816598397217,0.09677953479
26,406,0.333755976562,0.135970789063,0.086771484375,0.445040507812,0.047763640625,0.0818743476563,0.0968105195313
27,407,0.345196116943,0.140943354736,0.0862039152832,0.455835301514,0.0474744772949,0.0820944927979,0.0969186707764
28,408,0.35575,0.14555,0.085504,0.467,0.047319,0.082263,0.097113
29,409,0.365388739014,0.149782480469,0.0846523355713,0.478475931396,0.0473036229248,0.0823817896729,0.0974000128174
30,410,0.374112382812,0.15364578125,0.0836443554687,0.490189414063,0.0474233164062,0.0824547226562,0.0977778085938
31,411,0.381790855713,0.156986054687,0.0827641619873,0.501816807861,0.047493026001,0.0824783553467,0.0979635491943
32,412,0.38834,0.15968,0.082288,0.51304,0.047332,0.082453,0.09769
33,413,0.393804686279,0.161755579834,0.0822240556641,0.523792906494,0.0469270822754,0.0823801484375,0.0969505174561
34,414,0.398276523438,0.163276679687,0.08255628125,0.534033945312,0.0462815078125,0.0822644921875,0.0957691054688
35,415,0.402258551025,0.164613380127,0.0829587294922,0.54380211792,0.0454818874512,0.0821355224609,0.09449262854
36,416,0.40627,0.16615,0.083102,0.55316,0.044628,0.082024,0.093477
37,417,0.410379038086,0.167924549561,0.0829705820312,0.562056939697,0.0437207340088,0.081932189209,0.0927358660889
38,418,0.414626953125,0.169955664063,0.0825681875,0.570451054688,0.0427636445313,0.081860609375,0.0922638007813
39,419,0.419362299805,0.172523892822,0.0820985664062,0.578543114014,0.0418537528076,0.0818461135254,0.0920232340088
40,420,0.42487,0.17586,0.081774,0.58652,0.041081,0.08192,0.091953
41,421,0.431209189453,0.179998549805,0.0815910318604,0.594396268311,0.0404673529053,0.0820866392822,0.0920724400635
42,422,0.438374921875,0.18492265625,0.0815383476562,0.602166992187,0.0400248476563,0.0823446054687,0.0923893945312
